im_name,tf,genes,size
RcsAB,RcsAB,"['b0403', 'b0439', 'b0527', 'b0581', 'b1115', 'b1951', 'b2028', 'b2043', 'b2044', 'b2045', 'b2046', 'b2047', 'b2048', 'b2049', 'b2050', 'b2051', 'b2052', 'b2053', 'b2054', 'b2055', 'b2056', 'b2057', 'b2058', 'b2059', 'b2060', 'b2061', 'b2062', 'b2291', 'b3003', 'b3357', 'b4553', 'b3562', 'b3563', 'b3818', 'b4026', 'b4027', 'b4028', 'b4029']",38
MalT,MalT,"['b3416', 'b3417', 'b3571', 'b4032', 'b4033', 'b4034', 'b4035', 'b4036', 'b4037']",9
TyrR,TyrR,"['b0112', 'b0388', 'b0389', 'b1263', 'b1264', 'b1907', 'b2600', 'b2601', 'b2602', 'b4054']",10
Molybdopterin,Molybdopterin,"['b0782', 'b0783', 'b0784', 'b0785']",4
Fnr-2,Fnr,"['b0007', 'b0375', 'b4589', 'b0621', 'b0715', 'b0836', 'b0837', 'b0872', 'b0873', 'b0894', 'b0919', 'b0992', 'b1004', 'b1108', 'b1224', 'b1334', 'b1376', 'b1541', 'b1587', 'b1593', 'b1601', 'b4409', 'b1625', 'b1674', 'b1750', 'b2172', 'b2181', 'b2201', 'b2202', 'b2241', 'b2292', 'b2298', 'b2343', 'b2468', 'b2579', 'b2707', 'b2726', 'b2727', 'b2728', 'b2729', 'b2877', 'b2957', 'b2966', 'b2997', 'b3006', 'b4756', 'b3060', 'b3156', 'b3157', 'b3158', 'b3211', 'b3408', 'b3409', 'b3512', 'b3573', 'b3746', 'b3755', 'b3945', 'b4122', 'b4123', 'b4128', 'b4559', 'b4139', 'b4154', 'b4337', 'b4364', 'b4380']",67
Suf System,IHF+IscR+OxyR+ppGpp+Fur+NsrR,"['b1679', 'b1680', 'b1681', 'b1682', 'b1683', 'b1684']",6
AtoC,RpoN+AtoC,"['b2221', 'b2222', 'b2223', 'b2224']",4
Leucine,LeuO+Leu-tRNA+ppGpp,"['b0071', 'b0072', 'b0073', 'b0074', 'b3774']",5
SoxS,SoxS,"['b0024', 'b0096', 'b0124', 'b0138', 'b0160', 'b0161', 'b0167', 'b0168', 'b0284', 'b0285', 'b0342', 'b0369', 'b0376', 'b0389', 'b0447', 'b0448', 'b0449', 'b0462', 'b0463', 'b0469', 'b0476', 'b0478', 'b0578', 'b0603', 'b0619', 'b0620', 'b0628', 'b0684', 'b0686', 'b0762', 'b0766', 'b0767', 'b0802', 'b0849', 'b0850', 'b0851', 'b0852', 'b0853', 'b0870', 'b0871', 'b0931', 'b0950', 'b0951', 'b0952', 'b1047', 'b1051', 'b1053', 'b1101', 'b1214', 'b1218', 'b1276', 'b1277', 'b1377', 'b1378', 'b1431', 'b1451', 'b1461', 'b1463', 'b1533', 'b1534', 'b1611', 'b4536', 'b1836', 'b1851', 'b1852', 'b2159', 'b2160', 'b2173', 'b2174', 'b2237', 'b2299', 'b2390', 'b4546', 'b2411', 'b2413', 'b2504', 'b2558', 'b2646', 'b2681', 'b2889', 'b2895', 'b2898', 'b2961', 'b2962', 'b2963', 'b2964', 'b2966', 'b3035', 'b3036', 'b3146', 'b3160', 'b3198', 'b3199', 'b3200', 'b3201', 'b3207', 'b3238', 'b3519', 'b3520', 'b3546', 'b3662', 'b3897', 'b3898', 'b3908', 'b3909', 'b3924', 'b3961', 'b4062', 'b4380', 'b4396']",110
Translation,DksA,"['b0115', 'b0169', 'b0170', 'b2185', 'b2606', 'b2607', 'b2608', 'b2609', 'b3166', 'b3167', 'b3168', 'b3230', 'b3231', 'b3294', 'b3295', 'b3296', 'b3297', 'b3299', 'b3300', 'b3301', 'b3302', 'b3303', 'b3304', 'b3305', 'b3306', 'b3307', 'b3308', 'b3309', 'b3310', 'b3311', 'b3312', 'b3313', 'b3314', 'b3315', 'b3316', 'b3317', 'b3318', 'b3319', 'b3320', 'b3321', 'b3340', 'b3341', 'b3342', 'b3983', 'b3984', 'b3986', 'b4200', 'b4201', 'b4202', 'b4203']",50
rdlC,rdlC,['b4423'],1
RcnR,RcnR,"['b2105', 'b2106']",2
Lrp,Lrp,"['b0077', 'b0078', 'b0381', 'b1189', 'b1190', 'b4740', 'b1605', 'b1634', 'b1798', 'b1814', 'b1907', 'b2209', 'b2669', 'b2670', 'b2796', 'b2797', 'b2845', 'b3454', 'b3455', 'b3456', 'b3457', 'b3458', 'b3460', 'b3496', 'b3523', 'b3616', 'b3617', 'b3774', 'b3829', 'b4045', 'b4129', 'b4217']",32
Nac,Nac,"['b0336', 'b0338', 'b0644', 'b4518', 'b1339', 'b1384', 'b1440', 'b1441', 'b1442', 'b1443', 'b1444', 'b1932', 'b1981', 'b1988', 'b2661', 'b2662', 'b2663', 'b2664', 'b2883', 'b4464', 'b2913', 'b3043', 'b3212', 'b3213', 'b3225', 'b3324', 'b3446', 'b3523', 'b3744', 'b4208']",30
KdpE,KdpE,"['b0694', 'b0695', 'b0696', 'b0697', 'b0698']",5
PhoB-2,PhoB,"['b0241', 'b0383', 'b0384', 'b0400', 'b1101', 'b3451', 'b3452', 'b3453', 'b3615', 'b3919', 'b4094', 'b4095', 'b4096', 'b4097', 'b4098', 'b4099', 'b4100', 'b4101', 'b4102', 'b4583', 'b4105', 'b4106', 'b4242']",23
RbsR+dsrA,dsrA+Crp+RbsR,"['b3748', 'b3749', 'b3750', 'b3751', 'b3752', 'b3753']",6
CysB-2,CysB,"['b0831', 'b0832', 'b1287', 'b2421', 'b2422', 'b2424', 'b2425', 'b2750', 'b2762', 'b2763']",10
FlhDC-1,FlhDC,"['b4634', 'b1043', 'b1044', 'b1073', 'b1074', 'b1075', 'b1076', 'b1077', 'b1421', 'b1566', 'b1742', 'b1760', 'b1878', 'b1879', 'b1886', 'b1890', 'b1904', 'b1922', 'b1923', 'b1926', 'b4495', 'b1937', 'b1942', 'b1944', 'b1948', 'b1949', 'b1950', 'b1951', 'b3072', 'b3524', 'b4621']",31
Crp-1,Crp,"['b1205', 'b1415', 'b1426', 'b1817', 'b1818', 'b1819', 'b1820', 'b4498', 'b2091', 'b2092', 'b2093', 'b2094', 'b2095', 'b2096', 'b2148', 'b2149', 'b2150', 'b2240', 'b2597', 'b3001', 'b3358', 'b4021', 'b4090', 'b4357']",24
ArgR,ArgR,"['b0032', 'b0033', 'b0272', 'b0273', 'b0709', 'b0860', 'b0861', 'b0862', 'b0863', 'b0864', 'b2306', 'b2307', 'b2308', 'b2309', 'b2818', 'b3172', 'b3211', 'b3359', 'b3957', 'b3958', 'b3959', 'b3960', 'b4254']",23
GadX,GadX,"['b0485', 'b0486', 'b1492', 'b1493', 'b2217', 'b3491', 'b3506', 'b3507', 'b3508', 'b3509', 'b3510', 'b3511', 'b3512', 'b3513', 'b3514', 'b3517', 'b4187']",17
NtrC-1,RpoN+NtrC,"['b0809', 'b0810', 'b0811', 'b3744', 'b3868', 'b3869', 'b3870']",7
XylR,Crp+XylR,"['b0270', 'b0271', 'b3562', 'b3563', 'b3564', 'b3565', 'b3566', 'b3567', 'b3568', 'b3569', 'b3656', 'b3657', 'b4620', 'b4031']",14
ArcA,ArcA,"['b0312', 'b0313', 'b0314', 'b0330', 'b0346', 'b0458', 'b0720', 'b4735', 'b0721', 'b0733', 'b0904', 'b1020', 'b1122', 'b1163', 'b1297', 'b1298', 'b1332', 'b1384', 'b1422', 'b1423', 'b1607', 'b1612', 'b1748', 'b1777', 'b1778', 'b2150', 'b2181', 'b2210', 'b2310', 'b2518', 'b2537', 'b2587', 'b2844', 'b2980', 'b3351', 'b3408', 'b3409', 'b3453', 'b3603', 'b3819', 'b3820', 'b3846', 'b3962', 'b3995', 'b4210', 'b4332', 'b4340']",47
BirA,BirA,"['b0774', 'b0775', 'b0776', 'b0777', 'b0778', 'b3827']",6
EvgA,EvgA,"['b1469', 'b1499', 'b1500', 'b1501', 'b1597', 'b2082', 'b2083', 'b2085', 'b2367', 'b2368', 'b2371', 'b2372', 'b2373', 'b2374', 'b2375', 'b2376']",16
BluR,BluR,"['b1164', 'b1165', 'b1166', 'b1167', 'b1168']",5
asr,PhoB+RcdA+H-NS+RstA,['b1597'],1
LsrR,RpoS+Crp+LsrR,"['b1511', 'b1512', 'b1513', 'b1514', 'b1515', 'b1516', 'b1517', 'b1518']",8
ZntR/Zur/CueR,ZntR/Zur/CueR,"['b0123', 'b4506', 'b0296', 'b0484', 'b1178', 'b1856', 'b1857', 'b1858', 'b1859', 'b1973', 'b1974', 'b2106', 'b3469']",13
RpoE,RpoE,"['b0161', 'b1172', 'b1481', 'b1806', 'b1874', 'b2419', 'b2420', 'b2432', 'b2570', 'b2571', 'b2572', 'b2573', 'b3055', 'b3267', 'b3527', 'b4026']",16
Fur-1,Fur,"['b0151', 'b0152', 'b0153', 'b0583', 'b0584', 'b0585', 'b4511', 'b0586', 'b0588', 'b0589', 'b0591', 'b0593', 'b0594', 'b0595', 'b0596', 'b0597', 'b0803', 'b0804', 'b0805', 'b1102', 'b1452', 'b1681', 'b1705', 'b2155', 'b2675', 'b2676']",26
PurR,ppGpp+PurR,"['b0336', 'b0522', 'b0523', 'b0529', 'b0945', 'b1062', 'b1131', 'b1623', 'b1660', 'b1687', 'b1849', 'b2312', 'b2313', 'b2476', 'b2499', 'b2500', 'b2557', 'b3654', 'b3714', 'b4005', 'b4006', 'b4064', 'b4133']",23
ArgP,ArgP,"['b0031', 'b0164', 'b0166', 'b0460', 'b0461', 'b4533', 'b1761', 'b1916', 'b2156', 'b2574', 'b2838', 'b4756', 'b3324', 'b3325', 'b3326', 'b3327', 'b3328', 'b3429', 'b3430', 'b3431', 'b3432', 'b3433', 'b3744', 'b4023', 'b4024']",25
AllR/AraC/FucR,FucR/AraC/AllR,"['b0061', 'b0062', 'b0063', 'b0505', 'b0507', 'b0508', 'b0509', 'b0511', 'b0512', 'b0513', 'b1900', 'b1901', 'b2801', 'b2802', 'b2803', 'b2841']",16
FucR/ExuR,FucR/ExuR,"['b0268', 'b0269', 'b1352', 'b1521', 'b2172', 'b2799', 'b2800', 'b2801', 'b2802', 'b2803', 'b2804', 'b3011', 'b3091', 'b3092', 'b3093']",15
Fur-2,Fur,"['b0150', 'b0151', 'b0152', 'b0468', 'b0585', 'b4511', 'b0588', 'b0589', 'b0590', 'b0591', 'b0592', 'b0593', 'b0595', 'b0596', 'b0597', 'b4490', 'b1018', 'b1252', 'b1452', 'b1496', 'b1673', 'b1674', 'b1705', 'b1821', 'b1905', 'b4582', 'b2106', 'b2211', 'b2673', 'b2674', 'b3005', 'b3006', 'b3070', 'b3337', 'b3408', 'b3409', 'b3410', 'b3908', 'b4292', 'b4293', 'b4367']",41
Mlc,Mlc+Crp,"['b1101', 'b1198', 'b1199', 'b1200', 'b1817', 'b1818', 'b1819', 'b2416', 'b2943', 'b3599', 'b3600', 'b3601']",12
CecR,CecR,"['b0792', 'b0793', 'b0794', 'b0795', 'b0796']",5
Fnr+IHF+gcvB,Fnr+IHF+gcvB,"['b1189', 'b1190', 'b3089', 'b3540', 'b3541', 'b3542', 'b3543', 'b3544']",8
YgbI,YgbI,"['b0061', 'b0063', 'b0509', 'b1800', 'b2735', 'b2736', 'b2737', 'b2738', 'b2739', 'b2740', 'b2843']",11
ComR/FlhDC/SgrR,ComR/FlhDC/SgrR,"['b0066', 'b0067', 'b0068', 'b1112', 'b1926', 'b1942', 'b1943', 'b2102', 'b2103', 'b2104']",10
LexA,LexA,"['b0060', 'b0231', 'b0779', 'b0958', 'b1061', 'b1183', 'b1184', 'b1741', 'b1847', 'b1848', 'b2616', 'b2698', 'b2699', 'b3645', 'b3832', 'b4043', 'b4044', 'b4058']",18
Cra,Cra,"['b0080', 'b1241', 'b1702', 'b2165', 'b2166', 'b2167', 'b2168', 'b2169', 'b2925', 'b2926', 'b2927', 'b3365', 'b3366', 'b3612', 'b4232']",15
GlpR-1,GlpR,"['b2239', 'b2240', 'b2241', 'b2242', 'b2243', 'b3426', 'b3925', 'b3926', 'b3927']",9
flhDC,Crp+H-NS+QseB+AcrR+Fur+FliZ+HdfR+IHF+LrhA+OmpR+RcsAB+YjjQ,"['b1891', 'b1892']",2
NtrC-2,NtrC+RpoN,"['b0450', 'b0451', 'b1488', 'b1932', 'b1988', 'b3268', 'b3868', 'b3869', 'b3870']",9
Glyoxylate,Cra+IHF+Crp+IclR+ArcA,"['b4014', 'b4015', 'b4016']",3
PaaX,IHF+Crp+PaaX,"['b1014', 'b1387', 'b1388', 'b1389', 'b1390', 'b1391', 'b1392', 'b1393', 'b1394', 'b4120']",10
Spermidine,Spermidine,"['b1238', 'b4573', 'b1241', 'b1242', 'b1243', 'b1244', 'b1245', 'b1246', 'b1247']",9
CdaR,CdaR,"['b0162', 'b1800', 'b2787', 'b2788', 'b2789', 'b3124', 'b3125', 'b3126', 'b3127', 'b3128']",10
PrpR+Cra,RpoN+PrpR+Cra,"['b0331', 'b0333', 'b0334', 'b0335', 'b2416']",5
FliA,FliA,"['b0250', 'b1070', 'b1071', 'b1082', 'b1083', 'b1194', 'b1421', 'b1566', 'b1742', 'b1760', 'b1881', 'b1882', 'b1883', 'b1884', 'b1885', 'b1886', 'b1887', 'b1888', 'b1889', 'b1890', 'b1922', 'b1923', 'b1924', 'b1925', 'b1926', 'b3072', 'b3524', 'b3525', 'b3666', 'b4109', 'b4110', 'b4355']",32
FecI,FecI,"['b0593', 'b0595', 'b0596', 'b4287', 'b4288', 'b4289', 'b4290', 'b4291']",8
CpxR,CpxR,"['b0123', 'b0287', 'b0459', 'b0460', 'b0461', 'b0484', 'b0495', 'b0496', 'b0571', 'b0837', 'b0839', 'b0969', 'b0970', 'b4490', 'b1113', 'b1205', 'b1216', 'b1436', 'b1535', 'b1586', 'b1599', 'b1600', 'b1601', 'b1655', 'b1743', 'b1814', 'b1816', 'b4751', 'b1829', 'b1843', 'b1846', 'b1902', 'b1969', 'b2597', 'b2666', 'b3037', 'b3038', 'b3088', 'b3095', 'b3096', 'b3363', 'b3461', 'b3859', 'b3860', 'b4484', 'b4170', 'b4171', 'b4188', 'b4313', 'b4392']",50
Crp-2,Crp,"['b0018', 'b0129', 'b0146', 'b0306', 'b0328', 'b0380', 'b0445', 'b0643', 'b0651', 'b0681', 'b0791', 'b1002', 'b1138', 'b1205', 'b1308', 'b4525', 'b1421', 'b1423', 'b1426', 'b1427', 'b1440', 'b1512', 'b1513', 'b1620', 'b1689', 'b1725', 'b1770', 'b1799', 'b1976', 'b2141', 'b2142', 'b2146', 'b2150', 'b2151', 'b2163', 'b2219', 'b2248', 'b2259', 'b2398', 'b2399', 'b2426', 'b2584', 'b2597', 'b2761', 'b2775', 'b2801', 'b2869', 'b2875', 'b2876', 'b2877', 'b2980', 'b3001', 'b3032', 'b3087', 'b3117', 'b3118', 'b3127', 'b3128', 'b3382', 'b3383', 'b3418', 'b3665', 'b3674', 'b3723', 'b3906', 'b4089', 'b4118', 'b4139', 'b4188', 'b4189', 'b4216', 'b4246', 'b4305', 'b4357']",74
Histidine,His-tRNA+DksA,"['b2019', 'b2020', 'b2021', 'b2022', 'b2023', 'b2024', 'b2025', 'b2026', 'b4388']",9
RpoH,RpoH,"['b0014', 'b0015', 'b0016', 'b0439', 'b0473', 'b0492', 'b0582', 'b0631', 'b0658', 'b0659', 'b0660', 'b0966', 'b1114', 'b1274', 'b1321', 'b1322', 'b1380', 'b1779', 'b1780', 'b1829', 'b2394', 'b2592', 'b2614', 'b3067', 'b3179', 'b3292', 'b3293', 'b3343', 'b3399', 'b3400', 'b3401', 'b3413', 'b3497', 'b3498', 'b3635', 'b3686', 'b3687', 'b3931', 'b3932', 'b4140', 'b4142', 'b4143', 'b4171']",43
GadE+FliZ,GadE+FliZ,"['b1492', 'b1493', 'b1625', 'b3491', 'b3509', 'b3510', 'b3513', 'b3514', 'b3517']",9
ComR/MarR,ComR/MarR,"['b4512', 'b1112', 'b4740', 'b1530', 'b1531', 'b1532', 'b3238', 'b3240', 'b3241', 'b3242']",10
GcvA,GcvA,"['b2902', 'b2903', 'b2904', 'b2905', 'b3460']",5
GadEXW,GadE/GadX/GadW,"['b0485', 'b0486', 'b2217', 'b3506', 'b3507', 'b3513', 'b3514', 'b3515', 'b3516']",9
ppGpp,ppGpp,"['b0023', 'b0142', 'b0143', 'b0211', 'b0238', 'b0405', 'b0423', 'b0469', 'b0477', 'b0661', 'b0797', 'b0807', 'b0835', 'b0859', 'b0874', 'b0884', 'b0905', 'b0910', 'b0945', 'b1047', 'b1055', 'b1069', 'b1086', 'b1125', 'b1126', 'b1133', 'b1269', 'b1281', 'b1282', 'b1343', 'b1435', 'b1445', 'b1549', 'b1558', 'b1628', 'b1660', 'b1722', 'b1750', 'b1786', 'b1807', 'b1821', 'b2014', 'b2069', 'b2081', 'b2140', 'b2344', 'b2498', 'b2517', 'b2518', 'b2533', 'b2562', 'b2576', 'b2765', 'b2944', 'b4469', 'b3065', 'b3084', 'b3184', 'b3186', 'b3260', 'b3261', 'b3396', 'b3470', 'b3471', 'b3606', 'b3643', 'b3704', 'b4557', 'b3741', 'b3822', 'b3965', 'b4155', 'b4373']",73
NagC,NagC,"['b0676', 'b0677', 'b0678', 'b0679', 'b0681', 'b1497', 'b1498', 'b1634', 'b1734', 'b1736', 'b1737', 'b1738', 'b1907', 'b2943', 'b3729', 'b3730']",16
GutM+SrlR,GutM+SrlR,"['b2702', 'b2703', 'b2704', 'b2705', 'b2706', 'b2707']",6
MetJ,MetJ,"['b0197', 'b0198', 'b0199', 'b0260', 'b0261', 'b0599', 'b0600', 'b2942', 'b3008', 'b3828', 'b3829', 'b3937', 'b3938', 'b3939', 'b3940', 'b3941', 'b4013']",17
RpoS,RpoS,"['b0186', 'b0304', 'b0325', 'b0329', 'b0384', 'b0419', 'b0453', 'b0456', 'b0581', 'b0643', 'b0707', 'b0753', 'b0773', 'b0788', 'b0789', 'b0790', 'b0803', 'b0806', 'b0808', 'b0812', 'b0837', 'b0865', 'b0871', 'b0897', 'b0906', 'b1003', 'b1004', 'b1051', 'b1188', 'b1195', 'b1197', 'b1217', 'b1258', 'b1259', 'b1285', 'b1341', 'b4743', 'b1428', 'b1440', 'b1449', 'b1450', 'b1454', 'b1478', 'b1480', 'b1482', 'b1519', 'b1536', 'b1646', 'b1668', 'b1678', 'b1724', 'b1725', 'b1732', 'b1739', 'b1783', 'b1784', 'b1795', 'b1836', 'b1847', 'b1896', 'b1897', 'b1927', 'b1953', 'b1955', 'b1967', 'b2080', 'b2086', 'b2097', 'b2112', 'b2127', 'b2128', 'b2129', 'b2130', 'b2131', 'b2135', 'b2137', 'b2266', 'b2302', 'b2347', 'b2464', 'b2465', 'b2543', 'b2602', 'b2659', 'b2660', 'b2661', 'b2662', 'b2663', 'b2665', 'b2672', 'b2809', 'b4658', 'b3003', 'b3012', 'b3024', 'b3073', 'b3097', 'b3098', 'b3099', 'b3100', 'b3102', 'b3153', 'b3239', 'b3268', 'b3336', 'b3361', 'b3362', 'b3447', 'b3524', 'b3548', 'b3555', 'b3588', 'b3830', 'b4107', 'b4126', 'b4127', 'b4411', 'b4149', 'b4181', 'b4182', 'b4187', 'b4248', 'b4269', 'b4376', 'b4568']",125
ExuR/YdfH/RhaRS,ExuR/YdfH/RhaR/RhaS,"['b1580', 'b1581', 'b3091', 'b3092', 'b3905', 'b4322', 'b4323']",7
CysB+Cbl,CysB+Cbl,"['b0365', 'b0366', 'b0367', 'b0368', 'b0933', 'b0934', 'b0935', 'b0936', 'b0937', 'b1657', 'b1920', 'b1987', 'b2425', 'b2505', 'b3661', 'b3917', 'b3918', 'b4326']",18
FlhDC-2,FlhDC,"['b1043', 'b1044', 'b1070', 'b1071', 'b1072', 'b1073', 'b1074', 'b1075', 'b1076', 'b1077', 'b1078', 'b1079', 'b1080', 'b1081', 'b1082', 'b1083', 'b1878', 'b1879', 'b1880', 'b1904', 'b1921', 'b1922', 'b1924', 'b1925', 'b1926', 'b4495', 'b1937', 'b1938', 'b1939', 'b1940', 'b1941', 'b1942', 'b1943', 'b1944', 'b1945', 'b1946', 'b1947', 'b1948', 'b1949', 'b1950', 'b1951']",41
ZraR,ZraR,"['b4002', 'b4004']",2
NtrC-3,NtrC+RpoN,"['b0450', 'b0451', 'b1006', 'b1007', 'b1008', 'b1009', 'b1010', 'b1011', 'b1012', 'b1483', 'b1484', 'b1485', 'b1486', 'b1487', 'b1488', 'b1596', 'b1747', 'b1748', 'b1987', 'b2875', 'b2876', 'b3268', 'b3269']",23
PhoP,PhoP,"['b0113', 'b0293', 'b0294', 'b0557', 'b0565', 'b0841', 'b0877', 'b1130', 'b1160', 'b1505', 'b1608', 'b1609', 'b1641', 'b1816', 'b4751', 'b1825', 'b1826', 'b2259', 'b4242', 'b4359']",20
ryhB,ryhB,"['b2522', 'b2523', 'b2524', 'b2525', 'b2526', 'b2527', 'b2528', 'b2529', 'b2530', 'b2531', 'b3414']",11
BasR,BasR,"['b0694', 'b1800', 'b1974', 'b2028', 'b2252', 'b2253', 'b2254', 'b2255', 'b2256', 'b2257', 'b4544', 'b3207', 'b3469', 'b3615', 'b3955', 'b4114']",16
AscG,AscG+Crp,"['b1861', 'b2715', 'b2716']",3
OmpR,OmpR,"['b4518', 'b1465', 'b1466', 'b1467', 'b1468', 'b1469', 'b2215', 'b3267', 'b3405']",9
NarL,NarL,"['b1223', 'b1224', 'b1474', 'b1751', 'b1797', 'b2206', 'b2207', 'b2208', 'b3365', 'b3366']",10
NtrC+RpoS,NtrC+RpoN+RpoS,"['b1483', 'b1484', 'b1485', 'b1486', 'b1487', 'b1488', 'b1744', 'b1745', 'b1746', 'b1747', 'b1748', 'b2344', 'b3268', 'b3451', 'b3452', 'b3453', 'b4067', 'b4068', 'b4565']",19
