Location,Type,Energy
12763 - 12763,loose,-19.860483 kcal/mol
13583 - 13583,tight,-34.9812992 kcal/mol
13763 - 13763,loose,-18.4013793 kcal/mol
13783 - 13793,loose,-20.192053700000002 kcal/mol
13813 - 13853,loose,-20.13436914 kcal/mol
13903 - 13903,loose,-20.0746606 kcal/mol
14188 - 14188,loose,-19.4121877 kcal/mol
14238 - 14238,loose,-20.6712742 kcal/mol
14358 - 14358,loose,-20.7633646 kcal/mol
15078 - 15078,tight,-37.1207133 kcal/mol
15108 - 15108,loose,-18.9512197 kcal/mol
15118 - 15118,tight,-37.4030641 kcal/mol
16761 - 16761,tight,-34.5832137 kcal/mol
16791 - 16831,tight,-35.34577746 kcal/mol
16861 - 16861,tight,-35.7289688 kcal/mol
16891 - 16891,tight,-34.7481859 kcal/mol
17689 - 17689,tight,-34.344588 kcal/mol
17839 - 17849,tight,-34.58059915 kcal/mol
17929 - 17929,tight,-34.2419275 kcal/mol
18109 - 18109,tight,-34.8979943 kcal/mol
18429 - 18429,tight,-36.1318583 kcal/mol
19025 - 19025,loose,-20.3220397 kcal/mol
19415 - 19425,loose,-20.79892915 kcal/mol
20845 - 20845,tight,-34.6184977 kcal/mol
21471 - 21471,loose,-20.9642337 kcal/mol
21541 - 21541,tight,-34.5196081 kcal/mol
21581 - 21591,tight,-35.388102399999994 kcal/mol
21981 - 21991,tight,-35.3378164 kcal/mol
22021 - 22021,tight,-34.1032902 kcal/mol
22041 - 22071,tight,-35.093737675 kcal/mol
22091 - 22091,tight,-35.2446318 kcal/mol
22461 - 22481,tight,-35.63981953333334 kcal/mol
22511 - 22521,tight,-34.0971356 kcal/mol
22541 - 22621,tight,-35.844005711111116 kcal/mol
22641 - 22641,loose,-19.6795094 kcal/mol
22751 - 22751,loose,-18.780698 kcal/mol
22761 - 22771,tight,-34.7834543 kcal/mol
22861 - 22861,loose,-19.8692622 kcal/mol
23221 - 23221,tight,-34.216095 kcal/mol
23311 - 23321,tight,-36.2755104 kcal/mol
23621 - 23621,tight,-34.8349018 kcal/mol
23851 - 23851,tight,-34.6593955 kcal/mol
24211 - 24211,tight,-34.646151 kcal/mol
24271 - 24291,tight,-36.9295122 kcal/mol
24311 - 24311,tight,-40.1504452 kcal/mol
24351 - 24361,tight,-35.904468050000006 kcal/mol
24391 - 24441,tight,-37.139064466666674 kcal/mol
24561 - 24561,tight,-34.8448461 kcal/mol
24991 - 24991,tight,-36.1249113 kcal/mol
25051 - 25051,tight,-36.6655998 kcal/mol
25237 - 25247,tight,-36.502092149999996 kcal/mol
25307 - 25317,tight,-36.84858695 kcal/mol
25337 - 25337,tight,-39.4891935 kcal/mol
25367 - 25367,tight,-35.9277362 kcal/mol
25417 - 25457,tight,-36.88538052 kcal/mol
25507 - 25507,tight,-34.2278786 kcal/mol
25527 - 25557,tight,-35.773697025000004 kcal/mol
25577 - 25577,tight,-37.1355261 kcal/mol
25856 - 25856,tight,-34.5580437 kcal/mol
26106 - 26106,tight,-35.1870522 kcal/mol
26146 - 26156,tight,-35.77949285 kcal/mol
26176 - 26176,tight,-34.0757914 kcal/mol
26357 - 26357,loose,-20.1822499 kcal/mol
26547 - 26577,tight,-35.1013297 kcal/mol
26777 - 26777,tight,-35.8861489 kcal/mol
26957 - 26957,tight,-38.1021916 kcal/mol
27037 - 27047,tight,-36.60089725 kcal/mol
27303 - 27303,tight,-37.6866658 kcal/mol
27353 - 27393,tight,-37.39048442 kcal/mol
27413 - 27413,tight,-34.2867107 kcal/mol
27453 - 27453,tight,-35.1200265 kcal/mol
27493 - 27503,tight,-36.2251537 kcal/mol
27813 - 27823,loose,-16.791602949999998 kcal/mol
28103 - 28103,tight,-34.4256951 kcal/mol
28374 - 28394,tight,-35.287597600000005 kcal/mol
28504 - 28504,tight,-35.4143709 kcal/mol
28614 - 28614,tight,-34.2358074 kcal/mol
28724 - 28724,tight,-34.9571588 kcal/mol
28834 - 28834,tight,-36.608619 kcal/mol
28914 - 28964,tight,-36.11394685 kcal/mol
28984 - 29004,tight,-36.171706 kcal/mol
29054 - 29054,tight,-37.523477 kcal/mol
29074 - 29074,loose,-20.8497462 kcal/mol
29094 - 29094,tight,-35.9682957 kcal/mol
29474 - 29504,loose,-15.466134199999999 kcal/mol
29671 - 29671,loose,-11.2951891 kcal/mol
29731 - 29771,loose,-16.50450116 kcal/mol
29891 - 29891,loose,-20.8831484 kcal/mol
29991 - 30001,tight,-35.259192 kcal/mol
30021 - 30031,tight,-34.58559895 kcal/mol
30271 - 30271,loose,-20.0702073 kcal/mol
30351 - 30361,loose,-18.252584 kcal/mol
30381 - 30381,loose,-16.9317465 kcal/mol
30491 - 30491,loose,-15.2504072 kcal/mol
30601 - 30601,loose,-9.65339933 kcal/mol
30827 - 30827,loose,-19.9666321 kcal/mol
30867 - 30877,loose,-18.666498699999998 kcal/mol
30927 - 30927,tight,-34.6661315 kcal/mol
30947 - 30947,tight,-35.5942226 kcal/mol
31257 - 31277,tight,-37.321165 kcal/mol
31297 - 31317,tight,-34.784192600000004 kcal/mol
31377 - 31377,tight,-34.9715928 kcal/mol
31447 - 31447,loose,-20.988074 kcal/mol
31597 - 31607,tight,-34.4740795 kcal/mol
31767 - 31767,tight,-33.995242 kcal/mol
31797 - 31827,tight,-37.000739225000004 kcal/mol
31857 - 31857,tight,-35.5055726 kcal/mol
31877 - 31887,tight,-35.538097199999996 kcal/mol
32017 - 32017,tight,-35.6757155 kcal/mol
32097 - 32147,tight,-38.542067583333335 kcal/mol
32237 - 32297,tight,-35.69368758571428 kcal/mol
32397 - 32397,tight,-39.8953907 kcal/mol
32507 - 32507,tight,-34.878788 kcal/mol
32537 - 32547,tight,-36.30881745 kcal/mol
32567 - 32577,tight,-35.8456389 kcal/mol
32597 - 32597,tight,-34.8868517 kcal/mol
32617 - 32617,tight,-36.8181072 kcal/mol
32687 - 32687,tight,-35.0747034 kcal/mol
32717 - 32737,tight,-35.595973333333326 kcal/mol
32807 - 32807,tight,-35.0843277 kcal/mol
32837 - 32837,tight,-35.371627 kcal/mol
33037 - 33047,loose,-17.91726 kcal/mol
33067 - 33067,loose,-17.47106 kcal/mol
33137 - 33137,tight,-35.1339019 kcal/mol
33327 - 33357,tight,-35.975579124999996 kcal/mol
33867 - 33867,tight,-34.9515143 kcal/mol
33887 - 33887,tight,-34.7534447 kcal/mol
33937 - 33937,loose,-19.6049383 kcal/mol
34086 - 34166,loose,-17.49703236666667 kcal/mol
34310 - 34310,loose,-18.2393449 kcal/mol
34520 - 34520,tight,-34.5788749 kcal/mol
34550 - 34560,loose,-20.581505049999997 kcal/mol
34590 - 34590,loose,-18.0574408 kcal/mol
35021 - 35021,tight,-35.4564965 kcal/mol
35131 - 35131,tight,-35.2402504 kcal/mol
35251 - 35271,tight,-35.268996066666666 kcal/mol
35387 - 35387,loose,-19.4486279 kcal/mol
35407 - 35407,loose,-18.697873 kcal/mol
35427 - 35427,loose,-20.2687528 kcal/mol
35447 - 35447,loose,-18.3563988 kcal/mol
35467 - 35487,loose,-17.7048798 kcal/mol
35507 - 35507,loose,-21.025099 kcal/mol
35707 - 35717,tight,-37.978895050000006 kcal/mol
35737 - 35777,tight,-37.651472940000005 kcal/mol
35827 - 35827,tight,-35.3758879 kcal/mol
35847 - 35857,tight,-35.65257125 kcal/mol
35897 - 35897,tight,-34.7130103 kcal/mol
35937 - 35937,tight,-34.8482716 kcal/mol
35957 - 35987,tight,-36.2924381 kcal/mol
36017 - 36027,tight,-35.01120635 kcal/mol
36047 - 36047,tight,-35.9498334 kcal/mol
36057 - 36057,loose,-16.3897458 kcal/mol
36157 - 36167,loose,-18.20181585 kcal/mol
36281 - 36281,tight,-37.773025 kcal/mol
36301 - 36311,tight,-35.0444583 kcal/mol
36381 - 36381,loose,-20.5715908 kcal/mol
36471 - 36471,tight,-34.3510823 kcal/mol
36501 - 36511,tight,-36.27493665 kcal/mol
36521 - 36521,loose,-19.8359328 kcal/mol
36531 - 36541,tight,-35.6167995 kcal/mol
36631 - 36631,loose,-17.6303816 kcal/mol
36741 - 36741,loose,-19.5715225 kcal/mol
36781 - 36791,loose,-20.5012463 kcal/mol
36891 - 36911,tight,-36.009127299999996 kcal/mol
37031 - 37041,tight,-35.41595765 kcal/mol
37391 - 37391,tight,-34.6073553 kcal/mol
37651 - 37651,tight,-34.6334418 kcal/mol
37701 - 37721,tight,-34.9918586 kcal/mol
38058 - 38068,loose,-19.32378345 kcal/mol
38088 - 38098,loose,-19.56262775 kcal/mol
38358 - 38358,loose,-18.737677 kcal/mol
38378 - 38388,loose,-20.24118775 kcal/mol
38458 - 38468,tight,-34.4917523 kcal/mol
38858 - 38858,loose,-20.7953601 kcal/mol
38908 - 38908,loose,-20.9464497 kcal/mol
39274 - 39304,tight,-37.80167337499999 kcal/mol
39664 - 39714,tight,-37.19818255 kcal/mol
39764 - 39764,tight,-35.9851609 kcal/mol
39824 - 39824,loose,-20.4470712 kcal/mol
39864 - 39864,tight,-36.1302906 kcal/mol
39954 - 39954,tight,-34.3342486 kcal/mol
39974 - 40004,tight,-35.050017825 kcal/mol
40214 - 40214,tight,-38.0554436 kcal/mol
40234 - 40284,tight,-36.18159368333334 kcal/mol
40637 - 40647,loose,-19.9247671 kcal/mol
40897 - 40897,loose,-19.7954322 kcal/mol
40987 - 40987,loose,-19.967386 kcal/mol
41017 - 41027,loose,-20.29576665 kcal/mol
41147 - 41157,tight,-35.3756863 kcal/mol
41946 - 41946,loose,-19.8638879 kcal/mol
42234 - 42234,loose,-20.981735 kcal/mol
42443 - 42443,tight,-35.5313573 kcal/mol
42633 - 42633,tight,-34.2397622 kcal/mol
42653 - 42663,tight,-36.9329405 kcal/mol
42763 - 42773,loose,-19.259129299999998 kcal/mol
42833 - 42843,loose,-19.0520411 kcal/mol
42943 - 42953,tight,-36.165854550000006 kcal/mol
42983 - 43013,tight,-35.991942449999996 kcal/mol
43053 - 43053,loose,-20.8983407 kcal/mol
43248 - 43248,tight,-34.3611702 kcal/mol
43308 - 43308,tight,-37.0750909 kcal/mol
43328 - 43358,tight,-35.6129011 kcal/mol
43458 - 43458,tight,-34.1851824 kcal/mol
43508 - 43518,tight,-36.8632418 kcal/mol
43568 - 43618,tight,-35.761434216666665 kcal/mol
43638 - 43638,tight,-34.2230833 kcal/mol
43898 - 43898,tight,-34.4231061 kcal/mol
44180 - 44180,tight,-34.4642979 kcal/mol
44300 - 44310,tight,-34.9159284 kcal/mol
44330 - 44330,tight,-35.1756874 kcal/mol
44350 - 44350,tight,-34.434971 kcal/mol
44440 - 44440,loose,-19.139853 kcal/mol
44500 - 44500,tight,-37.987583 kcal/mol
44610 - 44610,tight,-38.4112798 kcal/mol
44720 - 44720,tight,-36.1686901 kcal/mol
45070 - 45070,tight,-35.0349703 kcal/mol
45090 - 45150,tight,-36.56366705714286 kcal/mol
45170 - 45170,tight,-37.1401969 kcal/mol
45210 - 45210,tight,-35.1395758 kcal/mol
45230 - 45240,tight,-35.955306199999995 kcal/mol
45260 - 45260,tight,-34.3508613 kcal/mol
45300 - 45300,tight,-34.4783764 kcal/mol
45320 - 45320,tight,-34.031644 kcal/mol
45503 - 45563,tight,-38.40739874285715 kcal/mol
45807 - 45807,tight,-34.6309602 kcal/mol
45827 - 45827,tight,-35.5344777 kcal/mol
45947 - 45947,tight,-39.8578475 kcal/mol
45967 - 45977,loose,-19.64165095 kcal/mol
46117 - 46127,tight,-36.49532705 kcal/mol
46167 - 46167,tight,-35.265668 kcal/mol
46187 - 46187,tight,-35.6529266 kcal/mol
46217 - 46217,tight,-36.0202888 kcal/mol
46237 - 46237,tight,-37.9206688 kcal/mol
46327 - 46337,loose,-19.00477785 kcal/mol
46357 - 46357,loose,-20.3078111 kcal/mol
46417 - 46447,tight,-36.491314675 kcal/mol
46677 - 46677,loose,-20.9402443 kcal/mol
46707 - 46707,loose,-18.2193622 kcal/mol
46737 - 46747,loose,-19.865364149999998 kcal/mol
46907 - 46937,tight,-37.410801500000005 kcal/mol
46957 - 46967,tight,-37.86052235 kcal/mol
47286 - 47286,tight,-34.2257104 kcal/mol
47396 - 47456,tight,-36.32618208571429 kcal/mol
47476 - 47476,tight,-35.0732691 kcal/mol
47526 - 47526,tight,-34.1047674 kcal/mol
47779 - 47779,tight,-47.7275006 kcal/mol
47799 - 47849,tight,-39.84098745 kcal/mol
48569 - 48569,tight,-34.8810527 kcal/mol
48579 - 48579,loose,-20.6502532 kcal/mol
48639 - 48639,tight,-39.2920765 kcal/mol
48659 - 48659,tight,-34.5882759 kcal/mol
48679 - 48759,tight,-39.700609344444445 kcal/mol
48859 - 48859,tight,-34.1777443 kcal/mol
48899 - 49079,tight,-36.631782473684204 kcal/mol
49179 - 49199,tight,-36.0502934 kcal/mol
49329 - 49329,tight,-34.0181006 kcal/mol
49359 - 49359,loose,-20.6196255 kcal/mol
49499 - 49499,tight,-34.7292128 kcal/mol
49519 - 49529,tight,-42.8642069 kcal/mol
49712 - 49712,loose,-16.1869399 kcal/mol
49722 - 49722,tight,-36.191679 kcal/mol
49732 - 49732,loose,-15.8714329 kcal/mol
49742 - 49752,tight,-34.5630911 kcal/mol
49792 - 49792,loose,-20.2389593 kcal/mol
49832 - 49852,loose,-18.194630166666666 kcal/mol
49952 - 49952,loose,-18.3216258 kcal/mol
50062 - 50062,loose,-20.947756 kcal/mol
50600 - 50600,tight,-35.6266246 kcal/mol
50860 - 50860,loose,-19.2809834 kcal/mol
51120 - 51120,tight,-35.4409834 kcal/mol
51229 - 51229,tight,-35.5358936 kcal/mol
51249 - 51249,tight,-40.2743929 kcal/mol
51309 - 51359,tight,-38.055596933333334 kcal/mol
51619 - 51619,tight,-39.4059422 kcal/mol
51639 - 51659,tight,-39.442284300000004 kcal/mol
51869 - 51869,loose,-20.9498163 kcal/mol
51889 - 51889,loose,-19.4879527 kcal/mol
52089 - 52099,loose,-20.3351953 kcal/mol
52279 - 52279,tight,-36.1919727 kcal/mol
52309 - 52309,tight,-34.4076175 kcal/mol
52329 - 52329,tight,-37.0491435 kcal/mol
52427 - 52427,tight,-36.8892326 kcal/mol
52447 - 52447,tight,-36.107702 kcal/mol
52487 - 52497,loose,-19.600914099999997 kcal/mol
52537 - 52537,tight,-34.4618563 kcal/mol
52557 - 52557,tight,-39.4808723 kcal/mol
52667 - 52667,tight,-41.7100977 kcal/mol
52777 - 52777,tight,-37.0185675 kcal/mol
52797 - 52797,tight,-35.1082299 kcal/mol
52817 - 52817,tight,-35.3548207 kcal/mol
52847 - 52847,tight,-34.1816955 kcal/mol
52887 - 52887,tight,-35.5039137 kcal/mol
52997 - 53007,tight,-37.74344365 kcal/mol
53107 - 53107,tight,-38.3410255 kcal/mol
53177 - 53177,tight,-35.2840546 kcal/mol
53207 - 53247,tight,-36.41887232 kcal/mol
53466 - 53466,loose,-20.6194056 kcal/mol
53986 - 53986,tight,-34.4080692 kcal/mol
54146 - 54166,tight,-39.07782333333333 kcal/mol
54186 - 54266,tight,-37.37998887777778 kcal/mol
54446 - 54466,loose,-18.8068339 kcal/mol
54835 - 54845,loose,-18.397434 kcal/mol
54865 - 54865,loose,-21.0168014 kcal/mol
54935 - 54935,loose,-18.8451086 kcal/mol
54995 - 54995,loose,-20.6100445 kcal/mol
55025 - 55025,loose,-20.4534692 kcal/mol
55145 - 55145,loose,-17.7703457 kcal/mol
55265 - 55265,tight,-35.4901004 kcal/mol
55465 - 55465,loose,-18.7390976 kcal/mol
55485 - 55485,loose,-20.7081203 kcal/mol
55515 - 55515,loose,-19.196738 kcal/mol
55565 - 55565,loose,-20.6886352 kcal/mol
56075 - 56075,loose,-21.0654248 kcal/mol
56245 - 56255,tight,-34.25031275 kcal/mol
56285 - 56285,tight,-34.2475872 kcal/mol
56535 - 56535,loose,-20.9230119 kcal/mol
56585 - 56615,loose,-16.665288825 kcal/mol
56925 - 56935,loose,-20.564324399999997 kcal/mol
57564 - 57564,tight,-34.0030595 kcal/mol
57604 - 57604,tight,-36.3105506 kcal/mol
57834 - 57834,tight,-35.2054814 kcal/mol
58474 - 58474,loose,-19.1933859 kcal/mol
58524 - 58524,loose,-20.3005583 kcal/mol
58574 - 58664,loose,-18.20073253 kcal/mol
58714 - 58714,loose,-20.0556151 kcal/mol
58804 - 58804,loose,-20.6468521 kcal/mol
58914 - 58914,tight,-35.8065477 kcal/mol
58984 - 58984,tight,-37.9869187 kcal/mol
59024 - 59024,loose,-20.6460144 kcal/mol
59121 - 59171,loose,-15.468160733333333 kcal/mol
59687 - 59687,tight,-37.5334628 kcal/mol
59707 - 59707,tight,-34.8666333 kcal/mol
59777 - 59777,tight,-34.0632292 kcal/mol
59807 - 59847,tight,-37.84325794 kcal/mol
59877 - 59877,tight,-34.2295378 kcal/mol
59907 - 59907,tight,-34.5820991 kcal/mol
59927 - 59927,tight,-37.9065837 kcal/mol
60037 - 60037,tight,-36.1289482 kcal/mol
60217 - 60227,tight,-34.9255155 kcal/mol
60368 - 60368,tight,-36.3242195 kcal/mol
60528 - 60528,loose,-20.4959631 kcal/mol
60658 - 60658,tight,-34.1158145 kcal/mol
61178 - 61178,loose,-18.6439117 kcal/mol
61198 - 61258,loose,-19.720727985714287 kcal/mol
61518 - 61538,tight,-34.94009943333334 kcal/mol
61558 - 61558,tight,-34.4829846 kcal/mol
61608 - 61608,tight,-34.4975138 kcal/mol
61718 - 61718,tight,-34.8316487 kcal/mol
61788 - 61788,tight,-36.3011822 kcal/mol
62228 - 62258,tight,-36.689605199999995 kcal/mol
62278 - 62278,tight,-34.311484 kcal/mol
62348 - 62348,tight,-34.173714 kcal/mol
62388 - 62388,tight,-35.1883359 kcal/mol
62698 - 62698,tight,-33.9956012 kcal/mol
62728 - 62768,tight,-36.63781408 kcal/mol
62918 - 62918,tight,-35.0604535 kcal/mol
62988 - 62998,tight,-35.92330845 kcal/mol
63018 - 63018,tight,-34.4635681 kcal/mol
63334 - 63334,loose,-15.3158048 kcal/mol
63429 - 63429,tight,-34.7196585 kcal/mol
63499 - 63499,tight,-34.1492295 kcal/mol
63519 - 63519,tight,-35.1075666 kcal/mol
63539 - 63559,tight,-35.192621566666666 kcal/mol
63579 - 63579,tight,-34.5611871 kcal/mol
63599 - 63659,tight,-37.1763325 kcal/mol
63899 - 63899,tight,-37.5933415 kcal/mol
63989 - 64009,tight,-35.31085303333333 kcal/mol
64119 - 64119,tight,-39.1329578 kcal/mol
64169 - 64189,tight,-36.71894293333333 kcal/mol
64229 - 64229,tight,-36.8771429 kcal/mol
64449 - 64449,tight,-34.9701409 kcal/mol
64659 - 64659,tight,-37.1126579 kcal/mol
64669 - 64669,loose,-20.1876306 kcal/mol
64689 - 64689,loose,-20.4303956 kcal/mol
64759 - 64759,loose,-20.2248672 kcal/mol
64929 - 64939,tight,-37.53942475 kcal/mol
65039 - 65039,tight,-35.6010867 kcal/mol
65069 - 65069,tight,-34.1292351 kcal/mol
65089 - 65089,tight,-35.2980828 kcal/mol
65109 - 65119,tight,-35.280421849999996 kcal/mol
65139 - 65159,tight,-35.92341213333333 kcal/mol
65189 - 65189,tight,-34.5601209 kcal/mol
65209 - 65209,loose,-20.4361172 kcal/mol
65639 - 65649,loose,-19.220175849999997 kcal/mol
66155 - 66165,loose,-20.4207633 kcal/mol
66435 - 66435,tight,-34.0517007 kcal/mol
67115 - 67155,tight,-35.77674732 kcal/mol
67245 - 67255,loose,-19.497056100000002 kcal/mol
67495 - 67515,tight,-35.066082800000004 kcal/mol
67535 - 67545,tight,-36.98860875 kcal/mol
68065 - 68075,tight,-35.22629205 kcal/mol
68095 - 68135,tight,-38.74682448 kcal/mol
68155 - 68175,tight,-39.99129263333334 kcal/mol
68568 - 68568,loose,-18.9422452 kcal/mol
68678 - 68678,tight,-34.4584237 kcal/mol
68748 - 68758,tight,-35.3944898 kcal/mol
68808 - 68808,tight,-36.5614119 kcal/mol
68828 - 68858,tight,-35.8359881 kcal/mol
68878 - 68878,tight,-34.9794187 kcal/mol
68938 - 68938,loose,-20.6211874 kcal/mol
69058 - 69078,tight,-35.379679466666666 kcal/mol
69098 - 69128,tight,-37.841543675000004 kcal/mol
69378 - 69378,tight,-34.0023511 kcal/mol
69408 - 69408,tight,-34.9785849 kcal/mol
69468 - 69488,tight,-35.27304243333334 kcal/mol
69588 - 69588,loose,-20.5765696 kcal/mol
69658 - 69718,tight,-35.8353844 kcal/mol
69938 - 69948,tight,-34.7447387 kcal/mol
70778 - 70778,tight,-33.990549 kcal/mol
71401 - 71411,tight,-35.0011187 kcal/mol
71471 - 71471,loose,-20.8369036 kcal/mol
71491 - 71511,loose,-19.123760833333332 kcal/mol
71581 - 71581,tight,-34.2108886 kcal/mol
71651 - 71651,tight,-36.5445856 kcal/mol
71671 - 71691,tight,-36.52952846666667 kcal/mol
71711 - 71771,tight,-37.0351054 kcal/mol
71831 - 71851,tight,-37.29821606666667 kcal/mol
71881 - 71891,tight,-36.832311950000005 kcal/mol
71911 - 71931,tight,-34.9136555 kcal/mol
71951 - 71961,tight,-34.89590065 kcal/mol
72001 - 72001,tight,-36.0910391 kcal/mol
72359 - 72359,tight,-34.2999034 kcal/mol
72469 - 72469,tight,-37.6036545 kcal/mol
72579 - 72579,tight,-39.5727259 kcal/mol
72599 - 72599,tight,-34.051039 kcal/mol
72639 - 72659,tight,-35.535627733333335 kcal/mol
72679 - 72679,tight,-37.883169 kcal/mol
72709 - 72809,tight,-36.54535546363636 kcal/mol
72911 - 72941,tight,-37.155995825000005 kcal/mol
72971 - 73011,tight,-36.33056426 kcal/mol
73031 - 73031,tight,-38.1484198 kcal/mol
73051 - 73051,tight,-35.8223023 kcal/mol
73111 - 73111,loose,-20.1115323 kcal/mol
73331 - 73331,tight,-34.9575549 kcal/mol
73351 - 73351,tight,-34.1743322 kcal/mol
73561 - 73561,tight,-40.3860376 kcal/mol
73581 - 73591,tight,-36.25096675 kcal/mol
73671 - 73671,tight,-43.7641919 kcal/mol
73711 - 73721,tight,-34.758698949999996 kcal/mol
73781 - 73781,tight,-44.4384996 kcal/mol
73891 - 73891,tight,-43.2532214 kcal/mol
73961 - 73961,tight,-34.6940321 kcal/mol
74001 - 74001,tight,-42.2501407 kcal/mol
74091 - 74091,tight,-36.0350733 kcal/mol
74111 - 74111,tight,-42.9376967 kcal/mol
74131 - 74131,tight,-37.7118704 kcal/mol
74151 - 74151,tight,-35.8821016 kcal/mol
74171 - 74171,tight,-34.6605759 kcal/mol
74211 - 74221,tight,-39.6754361 kcal/mol
74261 - 74261,tight,-34.8054399 kcal/mol
74281 - 74391,tight,-38.96274365833333 kcal/mol
74411 - 74411,tight,-34.1064954 kcal/mol
74497 - 74497,loose,-14.4402279 kcal/mol
74517 - 74517,loose,-19.9588757 kcal/mol
74747 - 74787,loose,-16.595334760000004 kcal/mol
74847 - 74847,loose,-20.8438102 kcal/mol
74877 - 74897,tight,-37.057177966666664 kcal/mol
74957 - 74957,loose,-20.3804162 kcal/mol
75047 - 75097,loose,-20.218247716666667 kcal/mol
75664 - 75664,tight,-41.8929752 kcal/mol
75784 - 75784,tight,-38.811999 kcal/mol
75824 - 75824,loose,-20.5275865 kcal/mol
75894 - 75894,tight,-36.5680551 kcal/mol
75924 - 75924,tight,-35.8032174 kcal/mol
76004 - 76004,tight,-37.9187798 kcal/mol
76044 - 76054,loose,-20.14497665 kcal/mol
76074 - 76074,loose,-18.8128321 kcal/mol
