,GENE_ID,GENE_NAME,GENE_POSLEFT,GENE_POSRIGHT,GENE_STRAND
71,ECK120000072,aroD,1774686,1775444,forward
72,ECK120000073,aroE,3430020,3430838,reverse
73,ECK120000074,aroF,2740080,2741150,reverse
74,ECK120000075,aroG,785633,786685,forward
75,ECK120000076,aroH,1788435,1789481,forward
76,ECK120000077,aroK,3518543,3519064,reverse
77,ECK120000078,aroL,406405,406929,forward
78,ECK120000079,aroM,407428,408105,forward
79,ECK120000080,aroP,120178,121551,reverse
80,ECK120000081,ascB,2840990,2842414,forward
81,ECK120000082,ascF,2839524,2840981,forward
82,ECK120000083,ascG,2838254,2839264,reverse
83,ECK120000084,asd,3573775,3574878,reverse
84,ECK120000085,aslA,3984352,3986007,reverse
85,ECK120000086,aslB,3982958,3984193,forward
86,ECK120000087,asnA,3927155,3928147,forward
87,ECK120000088,asnB,697513,699177,reverse
88,ECK120000089,asnC,3926545,3927003,reverse
89,ECK120000090,asnS,987585,988985,reverse
90,ECK120000091,aspA,4366891,4368327,reverse
91,ECK120000092,aspC,984519,985709,reverse
92,ECK120000093,aspS,1948750,1950522,reverse
93,ECK120000094,atpA,3918316,3919857,reverse
94,ECK120000095,atpB,3921236,3922051,reverse
95,ECK120000096,atpC,3915553,3915972,reverse
96,ECK120000097,atpD,3915993,3917375,reverse
97,ECK120000098,atpE,3920950,3921189,reverse
98,ECK120000099,atpF,3920418,3920888,reverse
99,ECK120000100,atpG,3917402,3918265,reverse
100,ECK120000101,atpH,3919870,3920403,reverse
101,ECK120000102,atpI,3922060,3922440,reverse
102,ECK120000103,avtA,3739705,3740958,forward
103,ECK120000104,bcp,2600478,2600948,forward
104,ECK120000105,betA,325577,327247,reverse
105,ECK120000106,betB,327261,328733,reverse
106,ECK120000107,betI,328747,329334,reverse
107,ECK120000108,betT,329463,331496,forward
108,ECK120000109,bfr,3466249,3466725,reverse
109,ECK120000110,bglB,3902289,3903701,reverse
110,ECK120000111,bglF,3903720,3905597,reverse
111,ECK120000112,bglG,3905731,3906567,reverse
112,ECK120000113,bioA,807968,809257,reverse
113,ECK120000114,bioB,809344,810384,forward
114,ECK120000115,bioC,811522,812277,forward
115,ECK120000116,bioD,812270,812947,forward
116,ECK120000117,bioF,810381,811535,forward
117,ECK120000118,bioH,3544074,3544844,reverse
118,ECK120000119,birA,4173082,4174047,forward
119,ECK120000120,bisC,3714061,3716394,reverse
120,ECK120000121,bolA,454472,454789,forward
121,ECK120000122,btuB,4163639,4165483,forward
122,ECK120000123,btuC,1794172,1795152,reverse
123,ECK120000124,btuD,1792809,1793558,reverse
124,ECK120000125,btuE,1793558,1794109,reverse
125,ECK120000126,btuR,1327767,1328357,reverse
126,ECK120000127,cadA,4356470,4358617,reverse
127,ECK120000128,cadB,4358697,4360031,reverse
128,ECK120000129,cadC,4360396,4361934,reverse
129,ECK120000130,carA,29651,30799,forward
130,ECK120000131,carB,30817,34038,forward
131,ECK120000132,cca,3201891,3203129,forward
132,ECK120000133,cdd,2231844,2232728,forward
133,ECK120000134,cdh,4109930,4110685,forward
134,ECK120000135,cdsA,195677,196534,forward
135,ECK120000136,chbB,1821299,1821619,reverse
136,ECK120000137,chbC,1819856,1821214,reverse
137,ECK120000138,chbA,1819455,1819805,reverse
138,ECK120000139,chbR,1818605,1819447,reverse
139,ECK120000140,chbF,1817148,1818500,reverse
140,ECK120000141,creD,4638178,4639530,forward
141,ECK120000142,cheA,1973360,1975324,reverse
142,ECK120000143,cheB,1967452,1968501,reverse
143,ECK120000144,cheR,1968504,1969364,reverse
144,ECK120000145,cheW,1972836,1973339,reverse
145,ECK120000146,cheY,1967048,1967437,reverse
146,ECK120000147,cheZ,1966393,1967037,reverse
147,ECK120000148,modC,796554,797612,forward
148,ECK120000149,moeA,865129,866364,reverse
149,ECK120000150,moeB,864380,865129,reverse
150,ECK120000151,cirA,2244778,2246769,reverse
151,ECK120000152,clpA,923264,925540,forward
152,ECK120000153,clpB,2731600,2734173,reverse
153,ECK120000154,clpP,456677,457300,forward
154,ECK120000155,clpX,457426,458700,forward
155,ECK120000156,cpdB,4434622,4436565,reverse
156,ECK120000157,cpsB,2123084,2124520,reverse
157,ECK120000158,cpsG,2121609,2122979,reverse
158,ECK120000159,cpxA,4103602,4104975,reverse
159,ECK120000160,crp,3486120,3486752,forward
160,ECK120000161,crr,2535834,2536343,forward
161,ECK120000162,cspA,3720049,3720261,forward
162,ECK120000163,cstA,629894,631999,forward
163,ECK120000164,lnt,689343,690881,reverse
164,ECK120000165,cvpA,2430275,2430763,reverse
165,ECK120000166,cyaA,3991153,3993699,forward
166,ECK120000167,cybB,1490902,1491432,forward
167,ECK120000168,cydA,771458,773026,forward
168,ECK120000169,cydB,773042,774181,forward
169,ECK120000170,cynS,359489,359959,forward
170,ECK120000171,cynT,358799,359458,forward
171,ECK120000172,cynX,359992,361146,forward
172,ECK120000173,cyoA,450663,451610,reverse
173,ECK120000174,cyoB,448650,450641,reverse
174,ECK120000175,cyoC,448046,448660,reverse
175,ECK120000176,cyoD,447717,448046,reverse
176,ECK120000177,cyoE,446815,447705,reverse
177,ECK120000178,cysA,2539717,2540814,reverse
178,ECK120000179,cysB,1333855,1334829,forward
179,ECK120000180,cysC,2873387,2873992,reverse
180,ECK120000181,cysD,2875421,2876329,reverse
181,ECK120000182,cysE,3781741,3782562,reverse
182,ECK120000183,cysG,3497828,3499201,forward
183,ECK120000184,cysH,2887578,2888312,reverse
184,ECK120000185,cysI,2888387,2890099,reverse
185,ECK120000186,cysJ,2890099,2891898,reverse
186,ECK120000187,cysK,2532409,2533380,forward
187,ECK120000188,cysM,2538672,2539583,reverse
188,ECK120000189,cysN,2873992,2875419,reverse
189,ECK120000190,cysP,2542512,2543528,reverse
190,ECK120000191,cysS,554611,555996,forward
191,ECK120000192,cysU,2541679,2542512,reverse
192,ECK120000193,cysW,2540804,2541679,reverse
193,ECK120000194,cytR,4123431,4124456,reverse
194,ECK120000195,dacA,662752,663963,reverse
195,ECK120000196,dacB,3328963,3330396,forward
196,ECK120000197,dacC,880727,881929,forward
197,ECK120000198,dam,3515077,3515913,reverse
198,ECK120000199,dapA,2598882,2599760,reverse
199,ECK120000200,dapB,28374,29195,forward
200,ECK120000201,dapD,185123,185947,reverse
201,ECK120000202,dapE,2591607,2592734,forward
202,ECK120000203,dapF,3994762,3995586,forward
203,ECK120000204,dbpA,1409511,1410884,forward
204,ECK120000205,dcm,2030899,2032317,reverse
205,ECK120000206,dcp,1625335,1627380,reverse
206,ECK120000207,ddlA,399829,400923,reverse
207,ECK120000208,ddlB,102233,103153,forward
208,ECK120000209,deaD,3305971,3307860,reverse
209,ECK120000210,dedA,2434082,2434741,reverse
210,ECK120000211,accD,2433012,2433926,reverse
211,ECK120000212,dedD,2431022,2431684,reverse
212,ECK120000213,deoA,4618229,4619551,forward
213,ECK120000214,deoB,4619603,4620826,forward
214,ECK120000215,deoC,4617323,4618102,forward
215,ECK120000216,deoD,4620883,4621602,forward
216,ECK120000217,deoR,881976,882734,reverse
217,ECK120000218,dgkA,4256637,4257005,forward
218,ECK120000219,dgt,179237,180754,forward
219,ECK120000220,dicA,1647934,1648341,forward
220,ECK120000221,dicB,1649609,1649797,forward
221,ECK120000222,dicC,1647620,1647850,reverse
222,ECK120000223,flk,2437950,2438945,forward
223,ECK120000224,dksA,160149,160604,reverse
224,ECK120000225,dld,2222185,2223900,forward
225,ECK120000226,dmsA,940959,943403,forward
226,ECK120000227,dmsB,943414,944031,forward
227,ECK120000228,dmsC,944033,944896,forward
228,ECK120000229,dnaA,3882326,3883729,reverse
229,ECK120000230,dnaB,4264314,4265729,forward
230,ECK120000231,dnaC,4600238,4600975,reverse
231,ECK120000232,dnaE,205126,208608,forward
232,ECK120000233,dnaG,3211107,3212852,forward
233,ECK120000234,dnaJ,14168,15298,forward
234,ECK120000235,dnaK,12163,14079,forward
235,ECK120000236,dnaN,3881221,3882321,reverse
236,ECK120000237,dnaQ,236067,236798,forward
237,ECK120000238,dnaT,4600978,4601517,reverse
238,ECK120000239,dnaX,492092,494023,forward
239,ECK120000240,mltD,232597,233955,reverse
240,ECK120000241,acpS,2700618,2700998,reverse
241,ECK120000242,dppA,3706098,3707705,reverse
242,ECK120000243,dsdA,2479202,2480530,forward
243,ECK120000244,dsdX,2477847,2479184,forward
244,ECK120000245,dut,3813932,3814387,forward
245,ECK120000246,ebgA,3222633,3225725,forward
246,ECK120000247,ebgC,3225722,3226171,forward
247,ECK120000248,ebgR,3221466,3222449,forward
248,ECK120000249,eco,2303905,2304393,forward
249,ECK120000250,eda,1932115,1932756,reverse
250,ECK120000251,edd,1932793,1934604,reverse
251,ECK120000252,eno,2906643,2907941,reverse
252,ECK120000253,entA,628551,629297,forward
253,ECK120000254,entB,627694,628551,forward
254,ECK120000255,entC,624885,626060,forward
255,ECK120000256,entD,609459,610079,reverse
256,ECK120000257,entE,626070,627680,forward
257,ECK120000258,entF,614157,618038,forward
258,ECK120000259,lpxC,106557,107474,forward
259,ECK120000260,acrE,3413864,3415021,forward
260,ECK120000261,acrF,3415033,3418137,forward
261,ECK120000262,envY,586147,586908,reverse
262,ECK120000263,envZ,3534516,3535868,reverse
263,ECK120000264,era,2702481,2703386,reverse
264,ECK120000265,exbB,3151250,3151984,reverse
265,ECK120000266,exbD,3150818,3151243,reverse
266,ECK120000267,fabA,1015952,1016470,reverse
267,ECK120000268,fabB,2440385,2441605,reverse
268,ECK120000269,accB,3405436,3405906,forward
269,ECK120000270,accC,3405917,3407266,forward
270,ECK120000271,fabH,1148759,1149712,forward
271,ECK120000272,fadA,4027609,4028772,reverse
272,ECK120000273,fadB,4028782,4030971,reverse
273,ECK120000274,fadL,2461306,2462646,forward
274,ECK120000275,fadR,1234938,1235657,forward
275,ECK120000276,fbaA,3070165,3071244,reverse
276,ECK120000277,fbp,4454611,4455609,reverse
277,ECK120000278,fdhE,4080299,4081228,reverse
278,ECK120000279,fdhF,4297219,4299366,reverse
279,ECK120000280,fecA,4514353,4516677,reverse
280,ECK120000281,fecB,4513406,4514308,reverse
281,ECK120000282,fecC,4512411,4513409,reverse
282,ECK120000283,fecD,4511458,4512414,reverse
283,ECK120000284,fecE,4510690,4511457,reverse
284,ECK120000285,fecI,4517714,4518235,reverse
285,ECK120000286,fecR,4516764,4517717,reverse
286,ECK120000287,fepA,610254,612494,reverse
287,ECK120000288,fepB,623554,624510,reverse
288,ECK120000289,fepC,619384,620199,reverse
289,ECK120000290,fepD,621185,622189,reverse
290,ECK120000291,fepE,618254,619387,forward
291,ECK120000292,fepG,620196,621188,reverse
292,ECK120000293,fes,612737,613939,forward
293,ECK120000294,ffh,2746434,2747795,reverse
294,ECK120000295,fhlA,2854338,2856416,forward
295,ECK120000296,fhuA,167484,169727,forward
296,ECK120000297,fhuB,171462,173444,forward
297,ECK120000298,fhuC,169778,170575,forward
298,ECK120000299,fhuD,170575,171465,forward
299,ECK120000300,fhuE,1159362,1161551,reverse
300,ECK120000301,fic,3490861,3491463,reverse
301,ECK120000302,fimA,4543115,4543663,forward
302,ECK120000303,fimB,4540957,4541559,forward
303,ECK120000304,fimC,4544304,4545029,forward
304,ECK120000305,fimD,4545096,4547732,forward
305,ECK120000306,fimE,4542037,4542633,forward
306,ECK120000307,fimF,4547742,4548272,forward
307,ECK120000308,fimG,4548285,4548788,forward
308,ECK120000309,fimH,4548808,4549710,forward
309,ECK120000310,lpxD,200971,201996,forward
310,ECK120000311,fis,3411271,3411567,forward
311,ECK120000312,fldA,710935,711465,reverse
312,ECK120000313,flhC,1977266,1977844,reverse
313,ECK120000314,flhD,1977847,1978197,reverse
314,ECK120000315,fliC,2002110,2003606,reverse
315,ECK120000316,fliL,2019618,2020082,forward
316,ECK120000317,fliM,2020087,2021091,forward
317,ECK120000318,fliN,2021088,2021501,forward
318,ECK120000319,fnr,1398774,1399526,reverse
319,ECK120000320,folA,49823,50302,forward
320,ECK120000321,folC,2431674,2432942,reverse
321,ECK120000322,folD,556875,557741,reverse
322,ECK120000323,mutM,3810343,3811152,reverse
323,ECK120000324,frdA,4380510,4382318,reverse
324,ECK120000325,frdB,4379783,4380517,reverse
325,ECK120000326,frdC,4379377,4379772,reverse
326,ECK120000327,frdD,4379007,4379366,reverse
327,ECK120000328,fre,4026527,4027228,forward
328,ECK120000329,frr,192872,193429,forward
329,ECK120000330,fruA,2259719,2261410,reverse
330,ECK120000331,fruK,2261427,2262365,reverse
331,ECK120000332,cra,88028,89032,forward
332,ECK120000333,ftsA,103982,105244,forward
333,ECK120000334,ftsE,3602079,3602747,reverse
334,ECK120000335,ftsI,91413,93179,forward
335,ECK120000336,ftsQ,103155,103985,forward
336,ECK120000337,rsmD,3604393,3604989,forward
337,ECK120000338,ftsW,98403,99647,forward
338,ECK120000339,ftsX,3601028,3602086,reverse
339,ECK120000340,ftsY,3602750,3604243,reverse
340,ECK120000341,ftsZ,105305,106456,forward
341,ECK120000342,fucA,2933041,2933688,reverse
342,ECK120000343,fucI,2935584,2937359,forward
343,ECK120000344,fucK,2937468,2938886,forward
344,ECK120000345,fucO,2931865,2933013,reverse
345,ECK120000346,fucP,2934235,2935551,forward
346,ECK120000347,fucR,2939368,2940099,forward
347,ECK120000348,fucU,2938888,2939310,forward
348,ECK120000349,fumA,1686731,1688377,reverse
349,ECK120000350,fumB,4345680,4347326,reverse
350,ECK120000351,fumC,1685185,1686588,reverse
351,ECK120000352,fur,710200,710646,reverse
352,ECK120000353,fusA,3471400,3473514,reverse
353,ECK120000354,gabT,2792735,2794015,forward
354,ECK120000355,galE,791039,792055,reverse
355,ECK120000356,galK,788831,789979,reverse
356,ECK120000357,galR,2976599,2977630,forward
357,ECK120000358,galS,2240628,2241668,reverse
358,ECK120000359,galT,789983,791029,reverse
359,ECK120000360,gapA,1862771,1863766,forward
360,ECK120000361,epd,3072672,3073691,reverse
361,ECK120000362,gcd,138835,141225,reverse
362,ECK120000363,ispG,2640686,2641804,reverse
363,ECK120000364,gcvH,3049160,3049549,reverse
364,ECK120000365,gdhA,1842371,1843714,forward
365,ECK120000366,mokC,16751,16960,reverse
366,ECK120000367,ggt,3585081,3586823,reverse
367,ECK120000368,mnmG,3923744,3925633,reverse
368,ECK120000369,rsmG,3923057,3923680,reverse
369,ECK120000370,glgA,3566600,3568033,reverse
370,ECK120000371,glgB,3571316,3573502,reverse
371,ECK120000372,glgC,3568033,3569328,reverse
372,ECK120000373,glgP,3564134,3566581,reverse
373,ECK120000374,glgX,3569346,3571319,reverse
374,ECK120000375,glmS,3911839,3913668,reverse
375,ECK120000376,glnA,4056625,4058034,reverse
376,ECK120000377,glnB,2687070,2687408,reverse
377,ECK120000378,glnG,4053869,4055278,reverse
378,ECK120000379,glnH,847258,848004,reverse
379,ECK120000380,glnL,4055290,4056339,reverse
380,ECK120000381,glnP,846460,847119,reverse
381,ECK120000382,glnQ,845741,846463,reverse
382,ECK120000383,glnS,706093,707757,forward
383,ECK120000384,glpA,2352647,2354275,forward
384,ECK120000385,glpB,2354265,2355524,forward
385,ECK120000386,glpC,2355521,2356711,forward
386,ECK120000387,glpD,3562013,3563518,forward
387,ECK120000388,glpE,3561497,3561823,reverse
388,ECK120000389,glpF,4117245,4118090,reverse
389,ECK120000390,glpG,3560622,3561452,reverse
390,ECK120000391,glpK,4115714,4117222,reverse
391,ECK120000392,glpQ,2349935,2351011,reverse
392,ECK120000393,glpR,3559848,3560605,reverse
393,ECK120000394,glpT,2351016,2352374,reverse
394,ECK120000395,gltA,753185,754468,reverse
395,ECK120000396,gltB,3354725,3359185,forward
396,ECK120000397,gltD,3359198,3360616,forward
397,ECK120000398,gltP,4294481,4295794,forward
398,ECK120000399,gltS,3827460,3828665,reverse
399,ECK120000400,gltX,2519257,2520672,reverse
400,ECK120000401,glyA,2684254,2685507,reverse
401,ECK120000402,glyQ,3724407,3725318,reverse
402,ECK120000403,glyS,3722328,3724397,reverse
403,ECK120000404,gnd,2099862,2101268,reverse
404,ECK120000405,gor,3646299,3647651,forward
405,ECK120000406,gpp,3962745,3964229,reverse
406,ECK120000407,gpt,255977,256435,forward
407,ECK120000408,greA,3328239,3328715,reverse
408,ECK120000409,grpE,2750115,2750708,reverse
409,ECK120000410,grxA,890496,890753,reverse
410,ECK120000411,gshA,2814883,2816439,reverse
411,ECK120000412,gshB,3091878,3092828,forward
412,ECK120000413,guaA,2630958,2632535,reverse
413,ECK120000414,guaB,2632604,2634070,reverse
414,ECK120000415,guaC,113444,114487,forward
415,ECK120000416,gyrA,2336793,2339420,reverse
416,ECK120000417,gyrB,3877705,3880119,reverse
417,ECK120000418,hdhA,1697273,1698040,reverse
418,ECK120000419,helD,1024471,1026525,forward
419,ECK120000420,hemA,1263714,1264970,forward
420,ECK120000421,hemB,388753,389727,reverse
421,ECK120000422,hemC,3989825,3990766,reverse
422,ECK120000423,hemD,3989088,3989828,reverse
423,ECK120000424,hemH,498055,499017,forward
424,ECK120000425,hemL,173602,174882,reverse
425,ECK120000426,hemX,3987885,3989066,reverse
426,ECK120000427,hemY,3986686,3987882,reverse
427,ECK120000428,hflC,4403300,4404304,forward
428,ECK120000429,hflK,4402038,4403297,forward
429,ECK120000430,hflX,4400672,4401952,forward
430,ECK120000431,hfq,4400288,4400596,forward
431,ECK120000432,hha,480090,480308,reverse
432,ECK120000433,ihfA,1795253,1795552,reverse
433,ECK120000434,ihfB,963828,964112,forward
434,ECK120000435,hipB,1592176,1592442,reverse
435,ECK120000436,hipA,1590854,1592176,reverse
436,ECK120000437,hisA,2095125,2095862,forward
437,ECK120000438,hisB,2093468,2094535,forward
438,ECK120000439,hisC,2092398,2093468,forward
439,ECK120000440,hisD,2091097,2092401,forward
440,ECK120000441,hisF,2095844,2096620,forward
441,ECK120000442,hisG,2090192,2091091,forward
442,ECK120000443,hisH,2094535,2095125,forward
443,ECK120000444,hisI,2096614,2097225,forward
444,ECK120000445,hisP,2423736,2424509,reverse
445,ECK120000446,hisS,2639301,2640575,reverse
446,ECK120000447,truA,2434824,2435636,reverse
447,ECK120000448,skp,200482,200967,forward
448,ECK120000449,hmp,2685835,2687025,forward
449,ECK120000450,hns,1292509,1292922,reverse
450,ECK120000451,hsdM,4581459,4583048,reverse
451,ECK120000452,hsdR,4583249,4586761,reverse
452,ECK120000453,hsdS,4580068,4581462,reverse
453,ECK120000454,htpG,495120,496994,forward
454,ECK120000455,htpX,1911695,1912576,reverse
455,ECK120000456,degP,180884,182308,forward
456,ECK120000457,lpxL,1115662,1116582,reverse
457,ECK120000458,ribB,3183813,3184466,reverse
458,ECK120000459,hupA,4200281,4200553,forward
459,ECK120000460,hupB,461451,461723,forward
460,ECK120000461,hyaA,1032139,1033257,forward
461,ECK120000462,hyaB,1033254,1035047,forward
462,ECK120000463,hyaC,1035066,1035773,forward
463,ECK120000464,hyaD,1035770,1036357,forward
464,ECK120000465,hyaE,1036354,1036752,forward
465,ECK120000466,hyaF,1036749,1037606,forward
466,ECK120000467,hycA,2849974,2850435,reverse
467,ECK120000468,hycB,2849238,2849849,reverse
468,ECK120000469,hycC,2847415,2849241,reverse
469,ECK120000470,hycD,2846489,2847412,reverse
470,ECK120000471,hycE,2844762,2846471,reverse
471,ECK120000472,hycF,2844210,2844752,reverse
472,ECK120000473,hycG,2843443,2844210,reverse
473,ECK120000474,hycH,2843036,2843446,reverse
474,ECK120000475,zraR,4203320,4204645,forward
475,ECK120000476,hypA,2850647,2850997,forward
476,ECK120000477,hypB,2851001,2851873,forward
477,ECK120000478,hypC,2851864,2852136,forward
478,ECK120000479,hypD,2852136,2853257,forward
479,ECK120000480,hypE,2853254,2854264,forward
480,ECK120000481,iap,2876581,2877618,forward
481,ECK120000482,icd,1195123,1196373,forward
482,ECK120000483,argP,3059753,3060646,forward
483,ECK120000484,iclR,4222804,4223628,reverse
484,ECK120000485,ileS,22391,25207,forward
485,ECK120000486,ilvA,3955331,3956875,forward
486,ECK120000487,ilvB,3851096,3852784,reverse
487,ECK120000488,ilvC,3957970,3959445,forward
488,ECK120000489,ilvD,3953478,3955328,forward
489,ECK120000490,ilvE,3952484,3953413,forward
490,ECK120000491,ilvG_2,3951623,3952204,forward
491,ECK120000492,ilvH,87357,87848,forward
492,ECK120000493,ilvI,85630,87354,forward
493,ECK120000494,ilvM,3952201,3952464,forward
494,ECK120000495,ilvN,3850802,3851092,reverse
495,ECK120000496,ilvY,3956927,3957820,reverse
496,ECK120000497,infA,926225,926443,reverse
497,ECK120000498,infB,3313342,3316014,reverse
498,ECK120000499,infC,1800096,1800638,reverse
499,ECK120000500,intD,564815,565978,reverse
500,ECK120000501,ispA,440202,441101,reverse
501,ECK120000502,katE,1813867,1816128,forward
502,ECK120000503,rpoS,2866559,2867551,reverse
503,ECK120000504,katG,4133835,4136015,forward
504,ECK120000505,kbl,3791355,3792551,reverse
505,ECK120000506,kdpA,727059,728732,reverse
506,ECK120000507,kdpB,724988,727036,reverse
507,ECK120000508,kdpC,724407,724979,reverse
508,ECK120000509,kdpD,721730,724414,reverse
509,ECK120000510,kdpE,721056,721733,reverse
510,ECK120000511,kdsA,1268165,1269019,forward
511,ECK120000512,kdsB,970852,971598,forward
512,ECK120000513,waaA,3808540,3809817,forward
513,ECK120000514,kefC,47769,49631,forward
514,ECK120000515,kgtP,2724448,2725746,reverse
515,ECK120000516,rsmA,51609,52430,reverse
516,ECK120000517,lacA,361249,361860,reverse
517,ECK120000518,lacI,366428,367510,reverse
518,ECK120000519,lacY,361926,363179,reverse
519,ECK120000520,lacZ,363231,366305,reverse
520,ECK120000521,lamB,4247971,4249311,forward
521,ECK120000522,lepA,2705325,2707124,reverse
522,ECK120000523,lepB,2704335,2705309,reverse
523,ECK120000524,leuO,84368,85312,forward
524,ECK120000525,leuS,672201,674783,reverse
525,ECK120000526,lexA,4257115,4257723,forward
526,ECK120000527,ligA,2528161,2530176,reverse
527,ECK120000528,lit,1198695,1199588,forward
528,ECK120000529,livF,3592724,3593437,reverse
529,ECK120000530,livG,3593439,3594206,reverse
530,ECK120000531,livH,3595477,3596403,reverse
531,ECK120000532,livJ,3598555,3599658,reverse
532,ECK120000533,livK,3596451,3597560,reverse
533,ECK120000534,livM,3594203,3595480,reverse
534,ECK120000535,lon,458888,461242,forward
535,ECK120000536,lpd,127912,129336,forward
536,ECK120000537,lpp,1757421,1757657,forward
537,ECK120000538,lpxA,202560,203348,forward
538,ECK120000539,lpxB,203348,204496,forward
539,ECK120000540,lrp,932595,933089,forward
540,ECK120000541,lspA,25207,25701,forward
541,ECK120000542,lysA,2977637,2978899,reverse
542,ECK120000543,lysC,4231884,4233233,reverse
543,ECK120000544,lysR,2979021,2979956,forward
544,ECK120000545,lysS,3033657,3035174,reverse
545,ECK120000546,lysU,4353200,4354717,reverse
546,ECK120000547,malE,4245229,4246419,reverse
547,ECK120000548,malF,4243531,4245075,reverse
548,ECK120000549,malG,4242626,4243516,reverse
549,ECK120000550,malI,1698152,1699180,reverse
550,ECK120000551,malK,4246784,4247899,forward
551,ECK120000552,malM,4249554,4250474,forward
552,ECK120000553,malP,3550080,3552473,reverse
553,ECK120000554,malQ,3547986,3550070,reverse
554,ECK120000555,malT,3553085,3555790,forward
555,ECK120000556,malX,1699355,1700947,forward
556,ECK120000557,malY,1700957,1702129,forward
557,ECK120000558,malZ,422518,424332,forward
558,ECK120000559,manA,1688576,1689751,forward
559,ECK120000560,manX,1902048,1903019,forward
560,ECK120000561,manY,1903082,1903882,forward
561,ECK120000562,manZ,1903895,1904746,forward
562,ECK120000563,map,188712,189506,reverse
563,ECK120000564,mazE,2911091,2911339,reverse
564,ECK120000565,mazG,2909894,2910685,reverse
565,ECK120000566,mcrA,1210346,1211179,forward
566,ECK120000567,mcrB,4577958,4579337,reverse
567,ECK120000568,mcrC,4576912,4577958,reverse
568,ECK120000569,mdh,3383330,3384268,reverse
569,ECK120000570,melA,4341911,4343266,forward
570,ECK120000571,melB,4343369,4344790,forward
571,ECK120000572,menD,2377589,2379259,reverse
572,ECK120000573,mepA,2445560,2446384,reverse
573,ECK120000574,metA,4214280,4215209,forward
574,ECK120000575,metB,4128672,4129832,forward
575,ECK120000576,metC,3152236,3153423,forward
576,ECK120000577,metE,4013053,4015314,forward
577,ECK120000578,metF,4132616,4133506,forward
578,ECK120000579,metG,2194300,2196333,forward
