,ATTENUATOR_ID,GENE_ID,ATTENUATOR_TYPE,ATTENUATOR_STRAND,A_TERMINATOR_TYPE,A_TERMINATOR_POSLEFT,A_TERMINATOR_POSRIGHT,A_TERMINATOR_ATTENUATOR_ID
21,ECK125143558,ECK120001526,Translational,reverse,terminator,75480,75507,ECK125143558
22,ECK125143560,ECK120001204,Transcriptional,reverse,terminator,83571,83600,ECK125143560
23,ECK125143560,ECK120001204,Transcriptional,reverse,anti-terminator,83591,83655,ECK125143560
24,ECK125143560,ECK120001204,Transcriptional,reverse,anti-anti-terminator,83635,83686,ECK125143560
25,ECK125143564,ECK120000332,Transcriptional,forward,terminator,87873,87902,ECK125143564
26,ECK125143564,ECK120000332,Transcriptional,forward,anti-terminator,87828,87876,ECK125143564
27,ECK125143564,ECK120000332,Transcriptional,forward,anti-anti-terminator,87800,87832,ECK125143564
28,ECK125143568,ECK120000925,Translational,forward,terminator,108238,108272,ECK125143568
29,ECK125143570,ECK120000619,Transcriptional,forward,terminator,111004,111031,ECK125143570
30,ECK125143570,ECK120000619,Transcriptional,forward,anti-terminator,110973,111009,ECK125143570
31,ECK125143570,ECK120000619,Transcriptional,forward,anti-anti-terminator,110935,110978,ECK125143570
32,ECK125143574,ECK120002012,Translational,reverse,terminator,117572,117594,ECK125143574
33,ECK125143576,ECK120002193,Transcriptional,forward,terminator,131367,131412,ECK125143576
34,ECK125143576,ECK120002193,Transcriptional,forward,anti-terminator,131339,131385,ECK125143576
35,ECK125143576,ECK120002193,Transcriptional,forward,anti-anti-terminator,131314,131346,ECK125143576
36,ECK125143580,ECK120001687,Transcriptional,forward,terminator,145034,145061,ECK125143580
37,ECK125143580,ECK120001687,Transcriptional,forward,anti-terminator,145010,145043,ECK125143580
38,ECK125143583,ECK120000298,Translational,forward,terminator,169739,169758,ECK125143583
39,ECK125143585,ECK120002206,Transcriptional,forward,terminator,174961,174995,ECK125143585
40,ECK125143585,ECK120002206,Transcriptional,forward,anti-terminator,174933,174978,ECK125143585
41,ECK125143588,ECK120001377,Transcriptional,reverse,terminator,188683,188706,ECK125143588
42,ECK125143588,ECK120001377,Transcriptional,reverse,anti-terminator,188698,188740,ECK125143588
43,ECK125143588,ECK120001377,Transcriptional,reverse,anti-anti-terminator,188722,188774,ECK125143588
44,ECK125143592,ECK120000563,Transcriptional,reverse,terminator,189634,189669,ECK125143592
45,ECK125143592,ECK120000563,Transcriptional,reverse,anti-terminator,189658,189693,ECK125143592
46,ECK125143592,ECK120000563,Transcriptional,reverse,anti-anti-terminator,189678,189720,ECK125143592
47,ECK125143596,ECK120001022,Transcriptional,forward,terminator,190768,190808,ECK125143596
48,ECK125143596,ECK120001022,Transcriptional,forward,anti-terminator,190738,190781,ECK125143596
49,ECK125143596,ECK120001022,Transcriptional,forward,anti-anti-terminator,190710,190760,ECK125143596
50,ECK125143600,ECK120001493,Transcriptional,forward,terminator,191718,191747,ECK125143600
51,ECK125143602,ECK120002714,Transcriptional,forward,terminator,209599,209626,ECK125143602
52,ECK125143604,ECK120001458,Transcriptional,reverse,terminator,220046,220078,ECK125143604
53,ECK125143604,ECK120001458,Transcriptional,reverse,anti-terminator,220065,220107,ECK125143604
54,ECK125143604,ECK120001458,Transcriptional,reverse,anti-anti-terminator,220103,220122,ECK125143604
55,ECK125143608,ECK120001592,Transcriptional,forward,terminator,229014,229045,ECK125143608
56,ECK125143608,ECK120001592,Transcriptional,forward,anti-terminator,228979,229018,ECK125143608
57,ECK125143608,ECK120001592,Transcriptional,forward,anti-anti-terminator,228977,228993,ECK125143608
58,ECK125143612,ECK120002727,Translational,forward,terminator,244281,244322,ECK125143612
59,ECK125143614,ECK120002732,Translational,forward,terminator,247600,247631,ECK125143614
60,ECK125143616,ECK120001079,Transcriptional,forward,terminator,256442,256475,ECK125143616
61,ECK125143616,ECK120001079,Transcriptional,forward,anti-terminator,256426,256456,ECK125143616
62,ECK125143616,ECK120001079,Transcriptional,forward,anti-anti-terminator,256387,256429,ECK125143616
63,ECK125143620,ECK120002743,Translational,reverse,terminator,265229,265251,ECK125143620
64,ECK125143622,ECK120002744,Transcriptional,reverse,terminator,265557,265594,ECK125143622
65,ECK125143622,ECK120002744,Transcriptional,reverse,anti-terminator,265585,265652,ECK125143622
66,ECK125143625,ECK120002762,Transcriptional,forward,terminator,285183,285228,ECK125143625
67,ECK125143625,ECK120002762,Transcriptional,forward,anti-terminator,285155,285195,ECK125143625
68,ECK125143625,ECK120002762,Transcriptional,forward,anti-anti-terminator,285130,285175,ECK125143625
69,ECK125143629,ECK120000063,Transcriptional,reverse,terminator,290430,290474,ECK125143629
70,ECK125143629,ECK120000063,Transcriptional,reverse,anti-terminator,290456,290469,ECK125143629
71,ECK125143629,ECK120000063,Transcriptional,reverse,anti-anti-terminator,290461,290495,ECK125143629
72,ECK125143633,ECK120002766,Translational,reverse,terminator,291355,291393,ECK125143633
73,ECK125143635,ECK120002768,Translational,reverse,terminator,292957,292995,ECK125143635
74,ECK125143637,ECK120002770,Transcriptional,reverse,terminator,294895,294927,ECK125143637
75,ECK125143637,ECK120002770,Transcriptional,reverse,anti-terminator,294918,294952,ECK125143637
76,ECK125143640,ECK120002777,Translational,reverse,terminator,302572,302589,ECK125143640
77,ECK125143642,ECK120002783,Transcriptional,reverse,terminator,310043,310067,ECK125143642
78,ECK125143642,ECK120002783,Transcriptional,reverse,anti-terminator,310057,310088,ECK125143642
79,ECK125143645,ECK120002785,Translational,reverse,terminator,311347,311365,ECK125143645
80,ECK125143647,ECK120000520,Translational,reverse,terminator,366315,366351,ECK125143647
81,ECK125143649,ECK120002818,Transcriptional,reverse,terminator,368547,368580,ECK125143649
82,ECK125143649,ECK120002818,Transcriptional,reverse,anti-terminator,368571,368616,ECK125143649
83,ECK125143649,ECK120002818,Transcriptional,reverse,anti-anti-terminator,368613,368650,ECK125143649
84,ECK125143653,ECK120002822,Translational,reverse,terminator,378390,378414,ECK125143653
85,ECK125143655,ECK120002824,Transcriptional,reverse,terminator,380942,380984,ECK125143655
86,ECK125143655,ECK120002824,Transcriptional,reverse,anti-terminator,380974,380985,ECK125143655
87,ECK125143658,ECK120001231,Transcriptional,forward,terminator,401214,401240,ECK125143658
88,ECK125143658,ECK120001231,Transcriptional,forward,anti-terminator,401193,401222,ECK125143658
89,ECK125143658,ECK120001231,Transcriptional,forward,anti-anti-terminator,401179,401203,ECK125143658
90,ECK125143662,ECK120001082,Transcriptional,reverse,terminator,416967,416996,ECK125143662
91,ECK125143662,ECK120001082,Transcriptional,reverse,anti-terminator,416990,417029,ECK125143662
92,ECK125143662,ECK120001082,Transcriptional,reverse,anti-anti-terminator,417018,417059,ECK125143662
93,ECK125143666,ECK120002845,Transcriptional,forward,terminator,420930,420964,ECK125143666
94,ECK125143666,ECK120002845,Transcriptional,forward,anti-terminator,420898,420942,ECK125143666
95,ECK125143666,ECK120002845,Transcriptional,forward,anti-anti-terminator,420866,420909,ECK125143666
96,ECK125143670,ECK120000985,Transcriptional,forward,terminator,425988,426016,ECK125143670
97,ECK125143670,ECK120000985,Transcriptional,forward,anti-terminator,425950,425996,ECK125143670
98,ECK125143670,ECK120000985,Transcriptional,forward,anti-anti-terminator,425944,425957,ECK125143670
99,ECK125143674,ECK120001085,Transcriptional,forward,terminator,430498,430529,ECK125143674
100,ECK125143674,ECK120001085,Transcriptional,forward,anti-terminator,430466,430512,ECK125143674
101,ECK125143674,ECK120001085,Transcriptional,forward,anti-anti-terminator,430436,430473,ECK125143674
102,ECK125143678,ECK120000154,Transcriptional,forward,terminator,456462,456499,ECK125143678
103,ECK125143678,ECK120000154,Transcriptional,forward,anti-terminator,456410,456477,ECK125143678
104,ECK125143681,ECK120000535,Transcriptional,forward,terminator,458731,458763,ECK125143681
105,ECK125143681,ECK120000535,Transcriptional,forward,anti-terminator,458707,458741,ECK125143681
106,ECK125143681,ECK120000535,Transcriptional,forward,anti-anti-terminator,458662,458715,ECK125143681
107,ECK125143685,ECK120000460,Transcriptional,forward,terminator,461273,461313,ECK125143685
108,ECK125143687,ECK120002853,Transcriptional,forward,terminator,461756,461788,ECK125143687
109,ECK125143687,ECK120002853,Transcriptional,forward,anti-terminator,461724,461763,ECK125143687
110,ECK125143687,ECK120002853,Transcriptional,forward,anti-anti-terminator,461701,461738,ECK125143687
111,ECK125143691,ECK120002856,Translational,reverse,terminator,465571,465589,ECK125143691
112,ECK125143693,ECK120001087,Translational,forward,terminator,476638,476661,ECK125143693
113,ECK125143695,ECK120001646,Transcriptional,reverse,terminator,485776,485800,ECK125143695
114,ECK125143695,ECK120001646,Transcriptional,reverse,anti-terminator,485792,485828,ECK125143695
115,ECK125143698,ECK120002020,Transcriptional,forward,terminator,485590,485616,ECK125143698
116,ECK125143698,ECK120002020,Transcriptional,forward,anti-terminator,485582,485598,ECK125143698
117,ECK125143698,ECK120002020,Transcriptional,forward,anti-anti-terminator,485539,485586,ECK125143698
118,ECK125143702,ECK120000029,Transcriptional,forward,terminator,496998,497037,ECK125143702
119,ECK125143702,ECK120000029,Transcriptional,forward,anti-terminator,496985,497011,ECK125143702
120,ECK125143702,ECK120000029,Transcriptional,forward,anti-anti-terminator,496965,496996,ECK125143702
121,ECK125143706,ECK120001534,Transcriptional,forward,terminator,533839,533864,ECK125143706
122,ECK125143706,ECK120001534,Transcriptional,forward,anti-terminator,533800,533848,ECK125143706
123,ECK125143709,ECK120002886,Translational,forward,terminator,536539,536566,ECK125143709
124,ECK125143711,ECK120002894,Transcriptional,reverse,terminator,546417,546442,ECK125143711
125,ECK125143711,ECK120002894,Transcriptional,reverse,anti-terminator,546439,546481,ECK125143711
126,ECK125143711,ECK120002894,Transcriptional,reverse,anti-anti-terminator,546467,546529,ECK125143711
127,ECK125143715,ECK120002366,Transcriptional,reverse,terminator,556622,556652,ECK125143715
128,ECK125143715,ECK120002366,Transcriptional,reverse,anti-terminator,556645,556689,ECK125143715
129,ECK125143718,ECK120002908,Transcriptional,forward,terminator,568678,568720,ECK125143718
130,ECK125143718,ECK120002908,Transcriptional,forward,anti-terminator,568647,568692,ECK125143718
131,ECK125143721,ECK120002911,Translational,forward,terminator,572440,572467,ECK125143721
132,ECK125143723,ECK120002915,Transcriptional,forward,terminator,573770,573812,ECK125143723
133,ECK125143723,ECK120002915,Transcriptional,forward,anti-terminator,573752,573783,ECK125143723
134,ECK125143723,ECK120002915,Transcriptional,forward,anti-anti-terminator,573749,573767,ECK125143723
135,ECK125143727,ECK120002917,Translational,forward,terminator,577370,577396,ECK125143727
136,ECK125143729,ECK120002928,Transcriptional,forward,terminator,595505,595533,ECK125143729
137,ECK125143729,ECK120002928,Transcriptional,forward,anti-terminator,595472,595507,ECK125143729
138,ECK125143729,ECK120002928,Transcriptional,forward,anti-anti-terminator,595450,595484,ECK125143729
139,ECK125143733,ECK120000700,Transcriptional,forward,terminator,601765,601803,ECK125143733
140,ECK125143733,ECK120000700,Transcriptional,forward,anti-terminator,601742,601781,ECK125143733
141,ECK125143733,ECK120000700,Transcriptional,forward,anti-anti-terminator,601714,601757,ECK125143733
142,ECK125143737,ECK120000287,Translational,reverse,terminator,612514,612538,ECK125143737
143,ECK125143739,ECK120002941,Translational,reverse,terminator,641884,641913,ECK125143739
144,ECK125143741,ECK120002944,Transcriptional,reverse,terminator,644016,644050,ECK125143741
145,ECK125143741,ECK120002944,Transcriptional,reverse,anti-terminator,644036,644084,ECK125143741
146,ECK125143741,ECK120002944,Transcriptional,reverse,anti-anti-terminator,644067,644109,ECK125143741
147,ECK125143745,ECK120000847,Transcriptional,reverse,terminator,645050,645085,ECK125143745
148,ECK125143745,ECK120000847,Transcriptional,reverse,anti-terminator,645071,645113,ECK125143745
149,ECK125143748,ECK120002954,Translational,reverse,terminator,655976,655987,ECK125143748
150,ECK125143750,ECK120001541,Translational,reverse,terminator,662648,662686,ECK125143750
151,ECK125143752,ECK120002349,Transcriptional,reverse,terminator,686681,686716,ECK125143752
152,ECK125143752,ECK120002349,Transcriptional,reverse,anti-terminator,686704,686744,ECK125143752
153,ECK125143752,ECK120002349,Transcriptional,reverse,anti-anti-terminator,686724,686799,ECK125143752
154,ECK125143756,ECK120002970,Transcriptional,reverse,terminator,693493,693525,ECK125143756
155,ECK125143756,ECK120002970,Transcriptional,reverse,anti-terminator,693514,693560,ECK125143756
156,ECK125143756,ECK120002970,Transcriptional,reverse,anti-anti-terminator,693540,693587,ECK125143756
157,ECK125143760,ECK120000625,Transcriptional,reverse,terminator,702767,702800,ECK125143760
158,ECK125143762,ECK120000383,Transcriptional,forward,terminator,705939,705973,ECK125143762
159,ECK125143762,ECK120000383,Transcriptional,forward,anti-terminator,705892,705944,ECK125143762
160,ECK125143765,ECK120002975,Transcriptional,forward,terminator,715216,715243,ECK125143765
161,ECK125143765,ECK120002975,Transcriptional,forward,anti-terminator,715176,715226,ECK125143765
162,ECK125143765,ECK120002975,Transcriptional,forward,anti-anti-terminator,715160,715194,ECK125143765
163,ECK125143769,ECK120000506,Transcriptional,reverse,terminator,728778,728803,ECK125143769
164,ECK125143769,ECK120000506,Transcriptional,reverse,anti-terminator,728795,728841,ECK125143769
165,ECK125143769,ECK120000506,Transcriptional,reverse,anti-anti-terminator,728817,728857,ECK125143769
166,ECK125143773,ECK120001475,Translational,forward,terminator,729087,729113,ECK125143773
167,ECK125143775,ECK120000839,Transcriptional,forward,terminator,729365,729396,ECK125143775
168,ECK125143775,ECK120000839,Transcriptional,forward,anti-terminator,729341,729376,ECK125143775
169,ECK125143775,ECK120000839,Transcriptional,forward,anti-anti-terminator,729322,729350,ECK125143775
170,ECK125143779,ECK120001094,Translational,forward,terminator,738970,738999,ECK125143779
171,ECK125143781,ECK120000395,Translational,reverse,terminator,754468,754515,ECK125143781
172,ECK125143783,ECK120000997,Transcriptional,forward,terminator,777644,777689,ECK125143783
173,ECK125143783,ECK120000997,Transcriptional,forward,anti-terminator,777641,777653,ECK125143783
174,ECK125143783,ECK120000997,Transcriptional,forward,anti-anti-terminator,777602,777648,ECK125143783
175,ECK125143787,ECK120001620,Transcriptional,reverse,terminator,793838,793872,ECK125143787
176,ECK125143787,ECK120001620,Transcriptional,reverse,anti-terminator,793861,793884,ECK125143787
177,ECK125143790,ECK120002283,Transcriptional,forward,terminator,794929,794961,ECK125143790
178,ECK125143790,ECK120002283,Transcriptional,forward,anti-terminator,794866,794934,ECK125143790
179,ECK125143790,ECK120002283,Transcriptional,forward,anti-anti-terminator,794870,794891,ECK125143790
180,ECK125143794,ECK120000113,Translational,reverse,terminator,809262,809301,ECK125143794
181,ECK125143796,ECK120000379,Transcriptional,reverse,terminator,848107,848152,ECK125143796
182,ECK125143796,ECK120000379,Transcriptional,reverse,anti-terminator,848149,848176,ECK125143796
183,ECK125143796,ECK120000379,Transcriptional,reverse,anti-anti-terminator,848162,848176,ECK125143796
184,ECK125143800,ECK120000149,Transcriptional,reverse,terminator,866409,866449,ECK125143800
185,ECK125143800,ECK120000149,Transcriptional,reverse,anti-terminator,866444,866477,ECK125143800
186,ECK125143800,ECK120000149,Transcriptional,reverse,anti-anti-terminator,866461,866517,ECK125143800
187,ECK125143804,ECK120003037,Transcriptional,forward,terminator,878633,878678,ECK125143804
188,ECK125143804,ECK120003037,Transcriptional,forward,anti-terminator,878616,878650,ECK125143804
189,ECK125143804,ECK120003037,Transcriptional,forward,anti-anti-terminator,878593,878630,ECK125143804
190,ECK125143808,ECK120000217,Translational,reverse,terminator,882746,882776,ECK125143808
191,ECK125143810,ECK120003044,Translational,forward,terminator,887377,887406,ECK125143810
192,ECK125143812,ECK120003046,Translational,forward,terminator,890045,890079,ECK125143812
193,ECK125143814,ECK120003048,Transcriptional,forward,terminator,897961,897987,ECK125143814
194,ECK125143814,ECK120003048,Transcriptional,forward,anti-terminator,897951,897966,ECK125143814
195,ECK125143814,ECK120003048,Transcriptional,forward,anti-anti-terminator,897915,897954,ECK125143814
196,ECK125143818,ECK120001576,Transcriptional,reverse,terminator,900687,900726,ECK125143818
197,ECK125143818,ECK120001576,Transcriptional,reverse,anti-terminator,900718,900758,ECK125143818
198,ECK125143818,ECK120001576,Transcriptional,reverse,anti-anti-terminator,900742,900795,ECK125143818
199,ECK125143822,ECK120003063,Translational,forward,terminator,922866,922883,ECK125143822
200,ECK125143824,ECK120000497,Translational,reverse,terminator,926458,926488,ECK125143824
201,ECK125143826,ECK120001371,Transcriptional,reverse,terminator,931018,931058,ECK125143826
202,ECK125143826,ECK120001371,Transcriptional,reverse,anti-terminator,931041,931110,ECK125143826
203,ECK125143826,ECK120001371,Transcriptional,reverse,anti-anti-terminator,931091,931124,ECK125143826
204,ECK125143830,ECK120003065,Translational,forward,terminator,937335,937350,ECK125143830
205,ECK125143832,ECK120000025,Transcriptional,reverse,terminator,951203,951230,ECK125143832
206,ECK125143834,ECK120000693,Transcriptional,reverse,terminator,953738,953782,ECK125143834
207,ECK125143834,ECK120000693,Transcriptional,reverse,anti-terminator,953763,953806,ECK125143834
208,ECK125143837,ECK120003069,Translational,forward,terminator,956724,956758,ECK125143837
209,ECK125143839,ECK120000069,Transcriptional,forward,terminator,958761,958790,ECK125143839
210,ECK125143839,ECK120000069,Transcriptional,forward,anti-terminator,958728,958769,ECK125143839
211,ECK125143839,ECK120000069,Transcriptional,forward,anti-anti-terminator,958689,958744,ECK125143839
212,ECK125143843,ECK120000434,Transcriptional,forward,terminator,963679,963706,ECK125143843
213,ECK125143843,ECK120000434,Transcriptional,forward,anti-terminator,963644,963686,ECK125143843
214,ECK125143843,ECK120000434,Transcriptional,forward,anti-anti-terminator,963629,963663,ECK125143843
215,ECK125143847,ECK120003073,Transcriptional,forward,terminator,971630,971671,ECK125143847
216,ECK125143847,ECK120003073,Transcriptional,forward,anti-terminator,971608,971641,ECK125143847
217,ECK125143847,ECK120003073,Transcriptional,forward,anti-anti-terminator,971548,971621,ECK125143847
218,ECK125143851,ECK120000090,Transcriptional,reverse,terminator,989120,989146,ECK125143851
219,ECK125143851,ECK120000090,Transcriptional,reverse,anti-terminator,989141,989180,ECK125143851
220,ECK125143851,ECK120000090,Transcriptional,reverse,anti-anti-terminator,989168,989220,ECK125143851
221,ECK125143855,ECK120003081,Transcriptional,forward,terminator,998435,998476,ECK125143855
222,ECK125143855,ECK120003081,Transcriptional,forward,anti-terminator,998397,998437,ECK125143855
223,ECK125143855,ECK120003081,Transcriptional,forward,anti-anti-terminator,998363,998405,ECK125143855
224,ECK125143859,ECK120003088,Translational,forward,terminator,1007807,1007822,ECK125143859
225,ECK125143861,ECK120002563,Transcriptional,forward,terminator,1015480,1015517,ECK125143861
226,ECK125143861,ECK120002563,Transcriptional,forward,anti-terminator,1015476,1015496,ECK125143861
227,ECK125143864,ECK120000662,Transcriptional,reverse,terminator,1020076,1020112,ECK125143864
228,ECK125143864,ECK120000662,Transcriptional,reverse,anti-terminator,1020098,1020138,ECK125143864
229,ECK125143864,ECK120000662,Transcriptional,reverse,anti-anti-terminator,1020123,1020158,ECK125143864
230,ECK125143868,ECK120001099,Transcriptional,reverse,terminator,1031582,1031616,ECK125143868
231,ECK125143868,ECK120001099,Transcriptional,reverse,anti-terminator,1031605,1031649,ECK125143868
232,ECK125143868,ECK120001099,Transcriptional,reverse,anti-anti-terminator,1031636,1031652,ECK125143868
233,ECK125143872,ECK120003110,Transcriptional,reverse,terminator,1051219,1051253,ECK125143872
234,ECK125143872,ECK120003110,Transcriptional,reverse,anti-terminator,1051242,1051282,ECK125143872
235,ECK125143872,ECK120003110,Transcriptional,reverse,anti-anti-terminator,1051253,1051307,ECK125143872
236,ECK125143876,ECK120003111,Translational,forward,terminator,1051423,1051451,ECK125143876
237,ECK125143878,ECK120003115,Translational,forward,terminator,1056237,1056257,ECK125143878
238,ECK125143880,ECK120000030,Transcriptional,forward,terminator,1065436,1065470,ECK125143880
239,ECK125143880,ECK120000030,Transcriptional,forward,anti-terminator,1065412,1065452,ECK125143880
240,ECK125143880,ECK120000030,Transcriptional,forward,anti-anti-terminator,1065389,1065433,ECK125143880
241,ECK125143884,ECK120002180,Transcriptional,forward,terminator,1074027,1074062,ECK125143884
242,ECK125143884,ECK120002180,Transcriptional,forward,anti-terminator,1073984,1074036,ECK125143884
243,ECK125143884,ECK120002180,Transcriptional,forward,anti-anti-terminator,1073969,1073998,ECK125143884
244,ECK125143888,ECK120000793,Translational,forward,terminator,1079260,1079280,ECK125143888
245,ECK125143890,ECK120003136,Translational,forward,terminator,1098836,1098861,ECK125143890
246,ECK125143892,ECK120003144,Transcriptional,forward,terminator,1104922,1104949,ECK125143892
247,ECK125143892,ECK120003144,Transcriptional,forward,anti-terminator,1104887,1104931,ECK125143892
248,ECK125143892,ECK120003144,Transcriptional,forward,anti-anti-terminator,1104855,1104893,ECK125143892
249,ECK125143896,ECK120003145,Translational,forward,terminator,1105378,1105402,ECK125143896
250,ECK125143898,ECK120003146,Translational,forward,terminator,1105777,1105816,ECK125143898
251,ECK125143900,ECK120002354,Transcriptional,forward,terminator,1113535,1113563,ECK125143900
252,ECK125143900,ECK120002354,Transcriptional,forward,anti-terminator,1113501,1113545,ECK125143900
253,ECK125143900,ECK120002354,Transcriptional,forward,anti-anti-terminator,1113485,1113514,ECK125143900
254,ECK125143904,ECK120001314,Transcriptional,reverse,terminator,1115531,1115565,ECK125143904
255,ECK125143904,ECK120001314,Transcriptional,reverse,anti-terminator,1115555,1115578,ECK125143904
256,ECK125143904,ECK120001314,Transcriptional,reverse,anti-anti-terminator,1115574,1115616,ECK125143904
257,ECK125143908,ECK120003152,Transcriptional,reverse,terminator,1120772,1120807,ECK125143908
258,ECK125143908,ECK120003152,Transcriptional,reverse,anti-terminator,1120798,1120820,ECK125143908
259,ECK125143908,ECK120003152,Transcriptional,reverse,anti-anti-terminator,1120810,1120867,ECK125143908
260,ECK125143912,ECK120000797,Transcriptional,reverse,terminator,1122681,1122708,ECK125143912
261,ECK125143912,ECK120000797,Transcriptional,reverse,anti-terminator,1122703,1122746,ECK125143912
262,ECK125143912,ECK120000797,Transcriptional,reverse,anti-anti-terminator,1122728,1122782,ECK125143912
263,ECK125143916,ECK120001101,Translational,reverse,terminator,1123294,1123320,ECK125143916
264,ECK125143918,ECK120002686,Transcriptional,forward,terminator,1135511,1135551,ECK125143918
265,ECK125143918,ECK120002686,Transcriptional,forward,anti-terminator,1135488,1135528,ECK125143918
266,ECK125143918,ECK120002686,Transcriptional,forward,anti-anti-terminator,1135457,1135499,ECK125143918
267,ECK125143922,ECK120002562,Translational,forward,terminator,1151568,1151601,ECK125143922
268,ECK125143924,ECK120002329,Transcriptional,forward,terminator,1151860,1151900,ECK125143924
269,ECK125143924,ECK120002329,Transcriptional,forward,anti-terminator,1151834,1151874,ECK125143924
270,ECK125143924,ECK120002329,Transcriptional,forward,anti-anti-terminator,1151809,1151848,ECK125143924
271,ECK125143928,ECK120002297,Translational,forward,terminator,1167552,1167589,ECK125143928
272,ECK125143930,ECK120003168,Translational,reverse,terminator,1175163,1175210,ECK125143930
273,ECK125143932,ECK120000740,Translational,reverse,terminator,1185600,1185623,ECK125143932
274,ECK125143934,ECK120003181,Translational,reverse,terminator,1201378,1201423,ECK125143934
275,ECK125143936,ECK120003184,Translational,reverse,terminator,1202943,1202975,ECK125143936
276,ECK125143938,ECK120000589,Translational,reverse,terminator,1226106,1226127,ECK125143938
277,ECK125143940,ECK120001471,Translational,reverse,terminator,1237258,1237286,ECK125143940
278,ECK125143942,ECK120003219,Translational,forward,terminator,1244681,1244701,ECK125143942
279,ECK125143944,ECK120001487,Transcriptional,forward,terminator,1258613,1258658,ECK125143944
280,ECK125143944,ECK120001487,Transcriptional,forward,anti-terminator,1258568,1258623,ECK125143944
281,ECK125143944,ECK120001487,Transcriptional,forward,anti-anti-terminator,1258542,1258592,ECK125143944
282,ECK125143948,ECK120003226,Transcriptional,forward,terminator,1286545,1286572,ECK125143948
283,ECK125143950,ECK120000983,Translational,forward,terminator,1293488,1293526,ECK125143950
284,ECK125143952,ECK120001313,Transcriptional,forward,terminator,1298515,1298548,ECK125143952
285,ECK125143952,ECK120001313,Transcriptional,forward,anti-terminator,1298481,1298522,ECK125143952
286,ECK125143952,ECK120001313,Transcriptional,forward,anti-anti-terminator,1298439,1298487,ECK125143952
287,ECK125143956,ECK120000667,Translational,forward,terminator,1301138,1301155,ECK125143956
288,ECK125143958,ECK120000668,Transcriptional,forward,terminator,1302819,1302863,ECK125143958
289,ECK125143958,ECK120000668,Transcriptional,forward,anti-terminator,1302779,1302832,ECK125143958
290,ECK125143958,ECK120000668,Transcriptional,forward,anti-anti-terminator,1302730,1302798,ECK125143958
291,ECK125143962,ECK120001554,Transcriptional,reverse,terminator,1310450,1310478,ECK125143962
292,ECK125143962,ECK120001554,Transcriptional,reverse,anti-terminator,1310474,1310526,ECK125143962
293,ECK125143962,ECK120001554,Transcriptional,reverse,anti-anti-terminator,1310511,1310565,ECK125143962
294,ECK125143966,ECK120001105,Translational,reverse,terminator,1312271,1312293,ECK125143966
295,ECK125143968,ECK120001110,Translational,reverse,terminator,1315789,1315815,ECK125143968
296,ECK125143970,ECK120001017,Transcriptional,reverse,terminator,1322967,1322995,ECK125143970
297,ECK125143970,ECK120001017,Transcriptional,reverse,anti-terminator,1322991,1323034,ECK125143970
298,ECK125143970,ECK120001017,Transcriptional,reverse,anti-anti-terminator,1323018,1323055,ECK125143970
299,ECK125143974,ECK120003229,Translational,forward,terminator,1323185,1323219,ECK125143974
300,ECK125143976,ECK120002288,Translational,forward,terminator,1326820,1326833,ECK125143976
301,ECK125143978,ECK120000179,Transcriptional,forward,terminator,1333674,1333703,ECK125143978
