# Table: TU_TERMINATOR_LINK
# Columns:
# 1) TRANSCRIPTION_UNIT_ID
# 2) TERMINATOR_ID
ECK120008917	ECK120010790
ECK120035085	ECK120035132
ECK120035087	ECK120035133
ECK120035090	ECK120010817
ECK120035098	ECK125109868
ECK120035099	ECK125109868
ECK120049200	ECK120048898
ECK125095423	ECK120051385
ECK125095430	ECK125095455
ECK125108715	ECK125108722
ECK125108716	ECK125108723
ECK125108938	ECK125108944
ECK125109840	ECK120015456
ECK125109842	ECK120015456
ECK125122029	ECK125122039
ECK125122030	ECK125122040
ECK125134699	ECK125134722
ECK125134700	ECK125134722
ECK125135678	ECK120010815
ECK125135679	ECK120010815
ECK125135680	ECK120010815
ECK125136089	ECK120015170
ECK125136139	ECK120010800
ECK125145759	ECK125145776
ECK125145761	ECK120033737
ECK125158014	ECK120034959
ECK125158015	ECK120015441
ECK125158016	ECK120033735
ECK125158017	ECK120033736
ECK125158018	ECK120011169
ECK125158019	ECK120033264
ECK125158020	ECK120034958
ECK125158021	ECK120010798
ECK125158022	ECK120033263
ECK125158023	ECK120033263
ECK125158024	ECK120034952
ECK125158024	ECK120034953
ECK125158024	ECK120034954
ECK125158024	ECK120034955
ECK125158024	ECK120034956
ECK125158025	ECK120030798
ECK125160639	ECK125160654
ECK125160641	ECK125160656
ECK125160642	ECK125160655
ECK125162166	ECK125162186
ECK125162175	ECK125257006
ECK125162177	ECK125162188
ECK125165380	ECK125165413
ECK125165380	ECK125165414
ECK125165381	ECK125165412
ECK125165382	ECK120010798
ECK125165389	ECK125165416
ECK125165935	ECK125165952
ECK125165935	ECK125165953
ECK125165937	ECK125165954
ECK125165937	ECK125165955
ECK125165939	ECK125165956
ECK125203402	ECK125203451
ECK125203407	ECK120020522
ECK125230242	ECK125230271
ECK125230243	ECK125230272
ECK125257181	ECK125257010
