# Table: REGULONFUNCPROMOTER_LINK_TMP
# Columns:
# 1) REGULON_FUNCTION_ID
# 2) PROMOTER_ID
ECK12R000074	ECK120009842
ECK12R000118	ECK120010617
ECK12R000120	ECK120009887
ECK12R000121	ECK120010364
ECK12R000121	ECK120029863
ECK12R000121	ECK120010692
ECK12R000121	ECK120015954
ECK12R000121	ECK120009965
ECK12R000121	ECK120009888
ECK12R000123	ECK120016224
ECK12R000123	ECK120034315
ECK12R000123	ECK120026311
ECK12R000123	ECK120009891
ECK12R000125	ECK120016706
ECK12R000125	ECK120016702
ECK12R000125	ECK120016580
ECK12R000125	ECK120016579
ECK12R000125	ECK120010633
ECK12R000125	ECK120029592
ECK12R000125	ECK120009896
ECK12R000125	ECK120009895
ECK12R000125	ECK120009892
ECK12R000125	ECK120010547
ECK12R000125	ECK120029593
ECK12R000127	ECK120009893
ECK12R000127	ECK120011026
ECK12R000129	ECK120010518
ECK12R000129	ECK120010532
ECK12R000129	ECK125109860
ECK12R000129	ECK120022001
ECK12R000129	ECK125095187
ECK12R000129	ECK120016406
ECK12R000129	ECK120020543
ECK12R000129	ECK120009894
ECK12R000129	ECK120009950
ECK12R000129	ECK120020544
ECK12R000129	ECK120010655
ECK12R000129	ECK120034340
ECK12R000129	ECK125108718
ECK12R000131	ECK120009897
ECK12R000133	ECK120010468
ECK12R000133	ECK120009898
ECK12R000135	ECK120009899
ECK12R000137	ECK120009902
ECK12R000137	ECK120009941
ECK12R000139	ECK120009903
ECK12R000141	ECK120009904
ECK12R000141	ECK120010088
ECK12R000143	ECK120009905
ECK12R000145	ECK120009909
ECK12R000145	ECK125137182
ECK12R000145	ECK120009908
ECK12R000147	ECK120010244
ECK12R000147	ECK125158030
ECK12R000147	ECK120010037
ECK12R000147	ECK120035115
ECK12R000147	ECK120034938
ECK12R000147	ECK120009910
ECK12R000149	ECK120020518
ECK12R000149	ECK120020517
ECK12R000149	ECK125109143
ECK12R000149	ECK120009911
ECK12R000149	ECK120020520
ECK12R000151	ECK120009932
ECK12R000151	ECK120015401
ECK12R000151	ECK120010742
ECK12R000151	ECK120009913
ECK12R000151	ECK120009933
ECK12R000153	ECK125160783
ECK12R000153	ECK120009914
ECK12R000155	ECK120009916
ECK12R000157	ECK120009917
ECK12R000158	ECK120009918
ECK12R000160	ECK120009922
ECK12R000162	ECK120009924
ECK12R000164	ECK120009925
ECK12R000166	ECK120010722
ECK12R000166	ECK120009926
ECK12R000166	ECK120010484
ECK12R000168	ECK120009928
ECK12R000170	ECK120010112
ECK12R000170	ECK120010113
ECK12R000170	ECK120010186
ECK12R000170	ECK120010221
ECK12R000170	ECK120010224
ECK12R000170	ECK120010303
ECK12R000170	ECK120009934
ECK12R000172	ECK120009959
ECK12R000172	ECK120009960
ECK12R000172	ECK120009937
ECK12R000172	ECK120033636
ECK12R000172	ECK120009961
ECK12R000172	ECK120009935
ECK12R000172	ECK120010432
ECK12R000172	ECK120009936
ECK12R000172	ECK120010999
ECK12R000172	ECK120015393
ECK12R000172	ECK120015394
ECK12R000172	ECK125095198
ECK12R000172	ECK120010223
ECK12R000174	ECK120009938
ECK12R000176	ECK120009944
ECK12R000177	ECK120029524
ECK12R000177	ECK120015464
ECK12R000177	ECK120010760
ECK12R000177	ECK125109032
ECK12R000177	ECK120051394
ECK12R000177	ECK120051395
ECK12R000177	ECK120009945
ECK12R000179	ECK120010300
ECK12R000179	ECK120034220
ECK12R000179	ECK120009946
ECK12R000179	ECK120010455
ECK12R000181	ECK120010641
ECK12R000181	ECK120009947
ECK12R000183	ECK120034381
ECK12R000183	ECK120010778
ECK12R000183	ECK125134717
ECK12R000183	ECK125134720
ECK12R000183	ECK120010503
ECK12R000183	ECK125109863
ECK12R000183	ECK120030213
ECK12R000183	ECK120030782
ECK12R000183	ECK120010368
ECK12R000183	ECK120009948
ECK12R000183	ECK120030783
ECK12R000183	ECK120033712
ECK12R000183	ECK120030212
ECK12R000185	ECK120009952
ECK12R000185	ECK120009951
ECK12R000187	ECK120010519
ECK12R000187	ECK120010220
ECK12R000187	ECK120009953
ECK12R000189	ECK120009956
ECK12R000191	ECK120009976
ECK12R000191	ECK120009975
ECK12R000191	ECK120009977
ECK12R000191	ECK120009973
ECK12R000191	ECK120009957
ECK12R000191	ECK125199577
ECK12R000193	ECK120009964
ECK12R000195	ECK120009970
ECK12R000195	ECK120035126
ECK12R000197	ECK120009974
ECK12R000199	ECK120009979
ECK12R000201	ECK120010487
ECK12R000201	ECK120009980
ECK12R000203	ECK120009981
ECK12R000205	ECK120009984
ECK12R000206	ECK120010225
ECK12R000206	ECK120009985
ECK12R000208	ECK120009988
ECK12R000210	ECK120009989
ECK12R000213	ECK120009992
ECK12R000215	ECK120009998
ECK12R000217	ECK120009999
ECK12R000219	ECK120010014
ECK12R000221	ECK120010137
ECK12R000221	ECK120010015
ECK12R000223	ECK120010021
ECK12R000225	ECK120010022
ECK12R000227	ECK120010023
ECK12R000227	ECK120010024
ECK12R000227	ECK120010027
ECK12R000229	ECK120010502
ECK12R000229	ECK120010025
ECK12R000231	ECK120010029
ECK12R000231	ECK120010028
ECK12R000231	ECK120010026
ECK12R000233	ECK120010034
ECK12R000235	ECK120010964
ECK12R000235	ECK120034388
ECK12R000235	ECK120010035
ECK12R000237	ECK120010036
ECK12R000239	ECK120010038
ECK12R000239	ECK120010039
ECK12R000241	ECK120010043
ECK12R000243	ECK120010044
ECK12R000245	ECK120010045
ECK12R000247	ECK120010046
ECK12R000249	ECK120010049
ECK12R000251	ECK120010051
ECK12R000253	ECK120010054
ECK12R000253	ECK120010053
ECK12R000253	ECK120010271
ECK12R000253	ECK120010056
ECK12R000255	ECK120010055
ECK12R000256	ECK120010497
ECK12R000256	ECK120010498
ECK12R000256	ECK120010499
ECK12R000256	ECK120010697
ECK12R000256	ECK120021266
ECK12R000256	ECK120010057
ECK12R000258	ECK120010059
ECK12R000260	ECK125138110
ECK12R000260	ECK120010061
ECK12R000262	ECK120010064
ECK12R000264	ECK120010065
ECK12R000266	ECK120010067
ECK12R000268	ECK120010068
ECK12R000270	ECK120030214
ECK12R000270	ECK120010075
ECK12R000272	ECK120010078
ECK12R000274	ECK120010080
ECK12R000276	ECK120010086
ECK12R000278	ECK120010087
ECK12R000280	ECK120010089
ECK12R000282	ECK120010091
ECK12R000284	ECK120035107
ECK12R000284	ECK120051380
ECK12R000284	ECK125257024
ECK12R000284	ECK120010238
ECK12R000284	ECK120010340
ECK12R000284	ECK120010341
ECK12R000284	ECK120010343
ECK12R000284	ECK120010344
ECK12R000284	ECK120010375
ECK12R000284	ECK120010527
ECK12R000284	ECK120010705
ECK12R000284	ECK120010980
ECK12R000284	ECK120011019
ECK12R000284	ECK120011024
ECK12R000284	ECK120015389
ECK12R000284	ECK120015516
ECK12R000284	ECK120015517
ECK12R000284	ECK120015518
ECK12R000284	ECK120015765
ECK12R000284	ECK120032969
ECK12R000284	ECK120033246
ECK12R000284	ECK120033247
ECK12R000284	ECK120033681
ECK12R000284	ECK120035102
ECK12R000284	ECK120035103
ECK12R000284	ECK120035105
ECK12R000284	ECK120035106
ECK12R000284	ECK120010131
ECK12R000284	ECK120010146
ECK12R000284	ECK120010093
ECK12R000286	ECK120010094
ECK12R000288	ECK120010095
ECK12R000288	ECK120010096
ECK12R000289	ECK120010127
ECK12R000289	ECK120010139
ECK12R000289	ECK125095184
ECK12R000289	ECK125095185
ECK12R000289	ECK125095433
ECK12R000289	ECK125135014
ECK12R000289	ECK125135023
ECK12R000289	ECK125135047
ECK12R000289	ECK125135048
ECK12R000289	ECK125135055
ECK12R000289	ECK125140844
ECK12R000289	ECK125141453
ECK12R000289	ECK125145767
ECK12R000289	ECK125203410
ECK12R000289	ECK125203416
ECK12R000289	ECK120010187
ECK12R000289	ECK120010185
ECK12R000289	ECK120010190
ECK12R000289	ECK120010235
ECK12R000289	ECK120010305
ECK12R000289	ECK120010367
ECK12R000289	ECK120010511
ECK12R000289	ECK120010664
ECK12R000289	ECK120010712
ECK12R000289	ECK120010937
ECK12R000289	ECK120015381
ECK12R000289	ECK120033032
ECK12R000289	ECK120033033
ECK12R000289	ECK120033709
ECK12R000289	ECK120034266
ECK12R000289	ECK120034372
ECK12R000289	ECK120034385
ECK12R000289	ECK120010100
ECK12R000291	ECK120010101
ECK12R000293	ECK120010103
ECK12R000295	ECK120010106
ECK12R000297	ECK120010107
ECK12R000299	ECK120010108
ECK12R000301	ECK120010989
ECK12R000301	ECK125203418
ECK12R000301	ECK120010111
ECK12R000301	ECK120010110
ECK12R000301	ECK120010109
ECK12R000301	ECK120020530
ECK12R000301	ECK120015422
ECK12R000301	ECK120015421
ECK12R000301	ECK120010991
ECK12R000301	ECK120010990
ECK12R000303	ECK120010294
ECK12R000303	ECK120010115
ECK12R000306	ECK120010116
ECK12R000308	ECK120010117
ECK12R000309	ECK120010118
ECK12R000311	ECK120010119
ECK12R000313	ECK120010120
ECK12R000315	ECK120010121
ECK12R000317	ECK120010122
ECK12R000319	ECK120010123
ECK12R000321	ECK120010124
ECK12R000323	ECK120010125
ECK12R000325	ECK120010126
ECK12R000327	ECK120010128
ECK12R000329	ECK120010129
ECK12R000331	ECK120010130
ECK12R000333	ECK120010132
ECK12R000335	ECK120010133
ECK12R000337	ECK120010134
ECK12R000339	ECK120010194
ECK12R000339	ECK120010135
ECK12R000341	ECK120035125
ECK12R000341	ECK120011042
ECK12R000341	ECK120011003
ECK12R000341	ECK120010136
ECK12R000343	ECK120010138
ECK12R000345	ECK120010140
ECK12R000347	ECK120010141
ECK12R000349	ECK120010293
ECK12R000349	ECK120010430
ECK12R000349	ECK120010561
ECK12R000349	ECK120010562
ECK12R000349	ECK120010142
ECK12R000349	ECK125136733
ECK12R000349	ECK120010197
ECK12R000351	ECK120010143
ECK12R000353	ECK120010144
ECK12R000353	ECK120010994
ECK12R000353	ECK120011022
ECK12R000355	ECK120010145
ECK12R000357	ECK120010147
ECK12R000358	ECK120010166
ECK12R000358	ECK120010148
ECK12R000360	ECK120010149
ECK12R000362	ECK120010150
ECK12R000364	ECK120033675
ECK12R000364	ECK120010151
ECK12R000364	ECK125137109
ECK12R000364	ECK125137524
ECK12R000364	ECK120010206
ECK12R000364	ECK125199578
ECK12R000364	ECK125229301
ECK12R000366	ECK120010152
ECK12R000368	ECK120010489
ECK12R000368	ECK120010153
ECK12R000370	ECK120011046
ECK12R000370	ECK120011014
ECK12R000370	ECK120010254
ECK12R000370	ECK120010459
ECK12R000370	ECK120010569
ECK12R000370	ECK120010571
ECK12R000370	ECK120010159
ECK12R000370	ECK120010154
ECK12R000370	ECK120011012
ECK12R000372	ECK120010515
ECK12R000372	ECK120010155
ECK12R000374	ECK120010156
ECK12R000374	ECK120048893
ECK12R000374	ECK125257026
ECK12R000376	ECK120010157
ECK12R000378	ECK120010158
ECK12R000379	ECK120010160
ECK12R000381	ECK120010161
ECK12R000383	ECK120010163
ECK12R000385	ECK120010164
ECK12R000387	ECK120010165
ECK12R000388	ECK120010167
ECK12R000390	ECK120010168
ECK12R000392	ECK120010169
ECK12R000394	ECK120010170
ECK12R000396	ECK120010171
ECK12R000398	ECK120010172
ECK12R000400	ECK120010173
ECK12R000402	ECK120010175
ECK12R000404	ECK120010176
ECK12R000406	ECK120010177
ECK12R000408	ECK120010178
ECK12R000410	ECK120010179
ECK12R000412	ECK120010180
ECK12R000414	ECK120010181
ECK12R000414	ECK120010182
ECK12R000416	ECK120010183
ECK12R000418	ECK120010184
ECK12R000420	ECK120010189
ECK12R000422	ECK120010191
ECK12R000422	ECK120011035
ECK12R000424	ECK120010192
ECK12R000426	ECK120010193
ECK12R000428	ECK120010195
ECK12R000430	ECK120010196
ECK12R000432	ECK120010198
ECK12R000434	ECK120010199
ECK12R000436	ECK120010200
ECK12R000436	ECK120010729
ECK12R000438	ECK120010201
ECK12R000439	ECK120010202
ECK12R000441	ECK120010203
ECK12R000442	ECK120010204
ECK12R000444	ECK120010205
ECK12R000446	ECK120010207
ECK12R000448	ECK120010208
ECK12R000448	ECK120010460
ECK12R000450	ECK120010209
ECK12R000452	ECK120010210
ECK12R000454	ECK120010211
ECK12R000456	ECK120010212
ECK12R000458	ECK120010214
ECK12R000460	ECK120010215
ECK12R000462	ECK120010216
ECK12R000464	ECK120010217
ECK12R000466	ECK120010218
ECK12R000466	ECK120010567
ECK12R000467	ECK120030667
ECK12R000467	ECK120030668
ECK12R000467	ECK120030669
ECK12R000467	ECK120034335
ECK12R000467	ECK120015382
ECK12R000467	ECK120010770
ECK12R000467	ECK120010521
ECK12R000467	ECK120010523
ECK12R000467	ECK120010529
ECK12R000467	ECK120030665
ECK12R000467	ECK120030664
ECK12R000467	ECK120030663
ECK12R000467	ECK120010335
ECK12R000467	ECK120010219
ECK12R000467	ECK120034354
ECK12R000467	ECK120017001
ECK12R000467	ECK120010435
ECK12R000469	ECK120010222
ECK12R000471	ECK120010226
ECK12R000473	ECK120010227
ECK12R000475	ECK120010228
ECK12R000476	ECK120010229
ECK12R000478	ECK120010230
ECK12R000480	ECK120010231
ECK12R000482	ECK120010234
ECK12R000484	ECK120010237
ECK12R000486	ECK120010239
ECK12R000488	ECK120010240
ECK12R000489	ECK125160647
ECK12R000489	ECK120010265
ECK12R000489	ECK120010279
ECK12R000489	ECK120010573
ECK12R000489	ECK120011047
ECK12R000489	ECK120034333
ECK12R000489	ECK125137333
ECK12R000489	ECK120010242
ECK12R000489	ECK120010241
ECK12R000491	ECK120010243
ECK12R000491	ECK125095189
ECK12R000491	ECK120010681
ECK12R000493	ECK120010245
ECK12R000494	ECK120010246
ECK12R000496	ECK120010247
ECK12R000498	ECK120010248
ECK12R000500	ECK120010249
ECK12R000502	ECK120010250
ECK12R000504	ECK120010251
ECK12R000506	ECK120010395
ECK12R000506	ECK125134711
ECK12R000506	ECK125136776
ECK12R000506	ECK120010252
ECK12R000506	ECK120034229
ECK12R000506	ECK120034244
ECK12R000506	ECK120034261
ECK12R000506	ECK125095442
ECK12R000506	ECK120011028
ECK12R000506	ECK120015379
ECK12R000506	ECK120015416
ECK12R000506	ECK120011010
ECK12R000506	ECK120011011
ECK12R000506	ECK120010317
ECK12R000506	ECK120010346
ECK12R000508	ECK120010253
ECK12R000510	ECK120010255
ECK12R000512	ECK120010256
ECK12R000514	ECK120010257
ECK12R000516	ECK120010258
ECK12R000518	ECK120010259
ECK12R000520	ECK120010260
ECK12R000522	ECK120010261
ECK12R000524	ECK120010262
ECK12R000526	ECK120010263
ECK12R000528	ECK120010264
ECK12R000530	ECK120010266
ECK12R000532	ECK120010267
ECK12R000534	ECK120010268
ECK12R000536	ECK120010269
ECK12R000537	ECK120010270
ECK12R000539	ECK120010648
ECK12R000539	ECK120010274
ECK12R000539	ECK120010284
ECK12R000541	ECK120010276
ECK12R000543	ECK120010280
ECK12R000545	ECK120010281
ECK12R000547	ECK120010282
ECK12R000549	ECK120010283
ECK12R000551	ECK120010296
ECK12R000553	ECK120010299
ECK12R000555	ECK120010308
ECK12R000557	ECK120016339
ECK12R000557	ECK120010740
ECK12R000557	ECK120010974
ECK12R000557	ECK120010309
ECK12R000559	ECK120010311
ECK12R000559	ECK125109859
ECK12R000560	ECK120010322
ECK12R000561	ECK120010574
ECK12R000561	ECK120010326
ECK12R000563	ECK120010327
ECK12R000564	ECK120022342
ECK12R000564	ECK120022071
ECK12R000564	ECK120015469
ECK12R000564	ECK120010330
ECK12R000564	ECK120010658
ECK12R000564	ECK120022125
ECK12R000566	ECK120010333
ECK12R000568	ECK120010334
ECK12R000569	ECK120033029
ECK12R000569	ECK125136364
ECK12R000569	ECK120010337
ECK12R000569	ECK120029525
ECK12R000571	ECK120010339
ECK12R000573	ECK120010350
ECK12R000575	ECK120010351
ECK12R000577	ECK120010355
ECK12R000577	ECK120011031
ECK12R000579	ECK120010356
ECK12R000580	ECK120010357
ECK12R000582	ECK120010362
ECK12R000584	ECK120010370
ECK12R000586	ECK120010371
ECK12R000588	ECK120010374
ECK12R000589	ECK120030655
ECK12R000589	ECK120030656
ECK12R000589	ECK120015495
ECK12R000589	ECK120015498
ECK12R000589	ECK120010728
ECK12R000589	ECK120010672
ECK12R000589	ECK120010680
ECK12R000589	ECK125160651
ECK12R000589	ECK125160650
ECK12R000589	ECK120010494
ECK12R000589	ECK120010377
ECK12R000589	ECK120010403
ECK12R000589	ECK120010462
ECK12R000590	ECK120010391
ECK12R000591	ECK120010396
ECK12R000593	ECK120010398
ECK12R000595	ECK120010399
ECK12R000597	ECK120010401
ECK12R000599	ECK120010410
ECK12R000601	ECK120010411
ECK12R000603	ECK120010419
ECK12R000605	ECK120010434
ECK12R000606	ECK120010438
ECK12R000608	ECK120010445
ECK12R000608	ECK120022294
ECK12R000609	ECK125138137
ECK12R000609	ECK120010751
ECK12R000609	ECK120010461
ECK12R000611	ECK120010469
ECK12R000613	ECK120049205
ECK12R000613	ECK120010470
ECK12R000613	ECK125203429
ECK12R000613	ECK125203428
ECK12R000613	ECK125203427
ECK12R000613	ECK125160782
ECK12R000615	ECK120010471
ECK12R000617	ECK120010472
ECK12R000619	ECK120010473
ECK12R000621	ECK120010479
ECK12R000623	ECK120010480
ECK12R000625	ECK120010481
ECK12R000627	ECK120010488
ECK12R000629	ECK120010490
ECK12R000630	ECK120010491
ECK12R000630	ECK120010739
ECK12R000632	ECK120010504
ECK12R000634	ECK120010507
ECK12R000636	ECK125257030
ECK12R000636	ECK120010520
ECK12R000636	ECK125141555
ECK12R000638	ECK120010533
ECK12R000639	ECK120010535
ECK12R000641	ECK120010540
ECK12R000643	ECK120010541
ECK12R000645	ECK120010546
ECK12R000645	ECK120010576
ECK12R000645	ECK120010585
ECK12R000647	ECK120010548
ECK12R000649	ECK120010549
ECK12R000650	ECK120010550
ECK12R000650	ECK120035108
ECK12R000651	ECK120034223
ECK12R000651	ECK120010554
ECK12R000651	ECK120010726
ECK12R000653	ECK120010556
ECK12R000654	ECK120010563
ECK12R000656	ECK120010564
ECK12R000658	ECK125095206
ECK12R000658	ECK125095208
ECK12R000658	ECK125095209
ECK12R000658	ECK120016781
ECK12R000658	ECK120016981
ECK12R000658	ECK120030786
ECK12R000658	ECK125095205
ECK12R000658	ECK125095204
ECK12R000658	ECK125095201
ECK12R000658	ECK125095203
ECK12R000658	ECK125095200
ECK12R000658	ECK120010568
ECK12R000658	ECK120033654
ECK12R000658	ECK120034328
ECK12R000659	ECK120010572
ECK12R000660	ECK120010575
ECK12R000660	ECK125095196
ECK12R000662	ECK120010578
ECK12R000663	ECK120010584
ECK12R000664	ECK120010614
ECK12R000666	ECK120010619
ECK12R000668	ECK120010620
ECK12R000670	ECK120010621
ECK12R000672	ECK120010626
ECK12R000674	ECK120010630
ECK12R000676	ECK120010635
ECK12R000678	ECK120010636
ECK12R000680	ECK120010637
ECK12R000682	ECK120010638
ECK12R000683	ECK120035114
ECK12R000683	ECK125108719
ECK12R000683	ECK125108720
ECK12R000683	ECK125134704
ECK12R000683	ECK125134718
ECK12R000683	ECK120010745
ECK12R000683	ECK125134703
ECK12R000683	ECK120015398
ECK12R000683	ECK120015405
ECK12R000683	ECK120015406
ECK12R000683	ECK120015399
ECK12R000683	ECK120015400
ECK12R000683	ECK120015402
ECK12R000683	ECK120015404
ECK12R000683	ECK120010640
ECK12R000683	ECK120010639
ECK12R000685	ECK120010651
ECK12R000687	ECK120010657
ECK12R000689	ECK120010662
ECK12R000690	ECK120010663
ECK12R000692	ECK120010666
ECK12R000694	ECK120010667
ECK12R000696	ECK120010668
ECK12R000698	ECK120010670
ECK12R000700	ECK120010671
ECK12R000702	ECK120010673
ECK12R000704	ECK120010675
ECK12R000706	ECK120029520
ECK12R000706	ECK120010676
ECK12R000708	ECK120010682
ECK12R000709	ECK120010683
ECK12R000711	ECK120010685
ECK12R000713	ECK120010686
ECK12R000715	ECK120010687
ECK12R000717	ECK120010688
ECK12R000717	ECK120034387
ECK12R000718	ECK120010689
ECK12R000720	ECK120010695
ECK12R000722	ECK120010699
ECK12R000723	ECK120010700
ECK12R000725	ECK120010704
ECK12R000727	ECK120010706
ECK12R000729	ECK120010707
ECK12R000731	ECK120010708
ECK12R000733	ECK120010709
ECK12R000735	ECK120010710
ECK12R000737	ECK120010711
ECK12R000739	ECK120010716
ECK12R000741	ECK120010719
ECK12R000742	ECK120010721
ECK12R000744	ECK120010723
ECK12R000746	ECK120010731
ECK12R000748	ECK120010735
ECK12R000748	ECK120010734
ECK12R000750	ECK120010736
ECK12R000752	ECK120010737
ECK12R000754	ECK120010741
ECK12R000756	ECK120010746
ECK12R000758	ECK120010747
ECK12R000761	ECK120010750
ECK12R000762	ECK120010752
ECK12R000764	ECK120010753
ECK12R000766	ECK120010754
ECK12R000768	ECK120010756
ECK12R000768	ECK120010996
ECK12R000769	ECK120010757
ECK12R000771	ECK120010759
ECK12R000773	ECK120010762
ECK12R000774	ECK120010763
ECK12R000776	ECK120010765
ECK12R000778	ECK120010766
ECK12R000780	ECK120010767
ECK12R000782	ECK120010771
ECK12R000783	ECK120010772
ECK12R000784	ECK120010773
ECK12R000786	ECK120010777
ECK12R000788	ECK120010987
ECK12R000789	ECK120010988
ECK12R000791	ECK120010992
ECK12R000791	ECK120011029
ECK12R000793	ECK120010993
ECK12R000795	ECK120010995
ECK12R000797	ECK120010997
ECK12R000797	ECK120010998
ECK12R000798	ECK120011000
ECK12R000800	ECK120011001
ECK12R000802	ECK120011002
ECK12R000804	ECK120011004
ECK12R000806	ECK120011005
ECK12R000808	ECK120011006
ECK12R000810	ECK120011007
ECK12R000812	ECK120011008
ECK12R000814	ECK120011009
ECK12R000816	ECK120011013
ECK12R000818	ECK120011015
ECK12R000820	ECK120011017
ECK12R000820	ECK120011016
ECK12R000822	ECK120011018
ECK12R000824	ECK120011020
ECK12R000826	ECK120011023
ECK12R000826	ECK120011021
ECK12R000827	ECK120011025
ECK12R000829	ECK120011027
ECK12R000831	ECK120011030
ECK12R000833	ECK120011032
ECK12R000835	ECK120011033
ECK12R000837	ECK120011034
ECK12R000839	ECK120011036
ECK12R000841	ECK120011037
ECK12R000843	ECK120011038
ECK12R000845	ECK120011039
ECK12R000847	ECK120011040
ECK12R000848	ECK120011041
ECK12R000850	ECK120011043
ECK12R000852	ECK120011044
ECK12R000852	ECK120034429
ECK12R000854	ECK120011045
ECK12R000856	ECK120011144
ECK12R000858	ECK120015157
ECK12R000860	ECK120015165
ECK12R000861	ECK120015166
ECK12R000863	ECK120015167
ECK12R000865	ECK120015388
ECK12R000865	ECK120015387
ECK12R000867	ECK120015391
ECK12R000867	ECK120015392
ECK12R000867	ECK120015472
ECK12R000869	ECK120015395
ECK12R000871	ECK120015397
ECK12R000873	ECK120015403
ECK12R000875	ECK120015409
ECK12R000875	ECK120034947
ECK12R000877	ECK120015428
ECK12R000878	ECK120015430
ECK12R000878	ECK120015429
ECK12R000880	ECK120015463
ECK12R000882	ECK120015467
ECK12R000884	ECK120015473
ECK12R000885	ECK120015489
ECK12R000887	ECK120015494
ECK12R000887	ECK125095451
ECK12R000887	ECK120016587
ECK12R000889	ECK120015496
ECK12R000890	ECK120015497
ECK12R000892	ECK120015500
ECK12R000892	ECK120048892
ECK12R000892	ECK120033723
ECK12R000892	ECK120033722
ECK12R000894	ECK120015956
ECK12R000896	ECK120015959
ECK12R000898	ECK120016183
ECK12R000900	ECK120016184
ECK12R000900	ECK125141980
ECK12R000902	ECK120016232
ECK12R000904	ECK120016342
ECK12R000906	ECK120016568
ECK12R000908	ECK120016581
ECK12R000910	ECK120016705
ECK12R000910	ECK120016704
ECK12R000912	ECK120016779
ECK12R000914	ECK120016780
ECK12R000916	ECK120016938
ECK12R000918	ECK120016950
ECK12R000920	ECK120016954
ECK12R000922	ECK120017002
ECK12R000924	ECK120020514
ECK12R000924	ECK120021268
ECK12R000924	ECK120021267
ECK12R000925	ECK120020519
ECK12R000927	ECK120020532
ECK12R000929	ECK120022065
ECK12R000931	ECK120022344
ECK12R000932	ECK125135021
ECK12R000932	ECK120030215
ECK12R000932	ECK120029973
ECK12R000932	ECK120026309
ECK12R000932	ECK120034197
ECK12R000934	ECK120026316
ECK12R000936	ECK120027918
ECK12R000938	ECK125158031
ECK12R000938	ECK120029294
ECK12R000940	ECK120029473
ECK12R000942	ECK120029860
ECK12R000944	ECK120029865
ECK12R000945	ECK120029868
ECK12R000947	ECK120029972
ECK12R000949	ECK120030208
ECK12R000951	ECK120030209
